,Issue Date,"September 2, 2021",,,,,,
Meter information,,,,,,,,
Read <br> Dates,Meter <br> Number,Load <br> Type,Reading <br> Type,Previous,Meter Reading Present,Difference,Multiplier,Usage
8/3- <br> 9/1,230012698,General Service,Total kWh,Actual,Actual,,,19
8/3- <br> 9/1,230012698,General Service,On Pk kW,Actual,Actual,,,0.03
8/3- <br> 9/1,230012700,General Service,Total kWh,Actual,Actual,,,16
8/3- <br> 9/1,230012700,General Service,On Pk kW,Actual,Actual,,,0.03
8/3- <br> 9/1,230041754,General Service,Total kWh,Actual,Actual,,,23364
8/3- <br> 9/1,230041754,General Service,On Pk kW,Actual,Actual,,,35.20
8/3- <br> 9/1,230041779,General Service,Total kWh,Actual,Actual,,,150348
8/3- <br> 9/1,230041779,General Service,On Pk kW,Actual,Actual,,,316.20
8/3- <br> 9/1,230057549,General Service,Total kWh,Actual,Actual,,,4691
8/3- <br> 9/1,230057549,General Service,On Pk kW,Actual,Actual,,,0.00
8/3- <br> 9/1,230131095,General Service,Total kWh,Actual,Actual,,,0
8/3- <br> 9/1,230131095,General Service,On Pk kW,Actual,Actual,,,0.00
