Retail Delivery Service - 0 to 100 kW,,
ENVIRONMENTAL COST RECOVERY ADJ,33491 kWh $\times 0.00033$,\$ 11.05
ENERGY TRANSITION ASSISTANCE,33491 kWh $\times 0.00072$,\$ 24.11
RENEWABLE PORTFOLIO STANDARD,33491 kWh $\times 0.00502$,\$ 168.12
ZERO EMISSION STANDARD,33491 kWh $\times 0.00195$,\$ 65.31
ENERGY EFFICIENCY PROGRAMS,33491 kWh $\times 0.00691$,\$ 231.42
CARBON-FREE ENERGY RESOURCE ADJ,33491 kWh $\times 0.0088$,\$ 294.72
STANDARD METERING CHARGE,,\$ 6.55
SINGLE BILL OPTION CREDIT,,\$ 0.73
METER LEASE,,\$ 4.97
ILELECTRICITY DISTRIBUTION CHARGE,33491 kWh $\times 0.00123$,\$ 41.19
DISTRIBUTION FACILITY CHARGE,81.17 kW $\times 11.72$,\$ 951.31
CUSTOMER CHARGE,,\$ 25.24
Total,,"\$ 1,817.36"
