Year 2019,,Year 2020,,Year 2021,
Contract <br> Month,Fixed Amount (MMBtu),Price,Fixed Amount (MMBtu),Price,Fixed Amount (MMBtu),Price
January,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
February,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
March,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
April,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
May,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
June,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
July,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
August,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
September,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
October,,,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$
November,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$,,
December,$\$ .000 .0$,$\$ 3.00000$,$\$ .000 .0$,$\$ 3.00000$,,
