BEFALL OF CURRENT CHARGES,,,,,,,
Delivery Services,,,,,,,
Service Period,No. of days,Current <br> Reading,Previous <br> Reading,Measured <br> CCF,$\begin{aligned} & \text { I } \\ & \text { Fedor } \end{aligned}$,$\begin{aligned} & \text { I } \\ & \text { Fedor } \end{aligned}$,Themes Used
Feb 15 - Mar 19,32,59848,Actual,58321,1527,1.03154,1575
METER NUMBER,01308711,NEXt SCHEDULED,Read date ON,on aSOUT,Apr 18,,
RATE,Rate 257,,,,,,
Basic Service Charge (including first 3.2 therms),,,,,,,40.17
Next 92.8 Therms,,,$1.7282 \times 92.8$ therms,,,,160.38
Over/Last 1479 Therms,,,$0.3553 \times 1479$ therms,,,,525.49
System Benefits Charge,,,$0.00677 \times 1575$ therms,,,,10.66
Delivery Rate Adj,,,$-0.03421455 \times 1575$ therms,,,,$-53.88$
Transp Adj Chg,,,$-0.004778 \times 1575$ therms,,,,$-7.52$
NY State and Local Surcharges,,,,,,,0.90
Total Delivery Services,,,,,,,$\$ 676.20$
