Service Period,No. of <br> days,Current <br> Reading,Previous <br> Reading,Measured <br> CCS,$\times$,Therm <br> Factor,$a$,Therms <br> Used
Jan 22 - Feb 20,29,60483,Actual,58311,Actual,2172,1.03233,2242
METER NUMBER,04565567,NEXT SCHEDULED READ DATE ON ON ABOUT,,,,,,
Date,Rate 257,Gas Non Resid General,Use Delivery,,,,,
Basic Service Charge (including first 2.9 therms),,,,,,,,36.40
Next 84.1 Therms,,,1.7282,$\times$,84.1 therms,,,145.34
Over/Last 2155 Therms,,,0.3553,$\times$,2155 therms,,,765.67
System Benefits Charge,,,0.00677,$\times$,2242 therms,,,15.18
Delivery Rate Adj,,,$-0.02849$,$\times$,2242 therms,,,$-63.86$
Transp Adj Chg,,,$-0.004776$,$\times$,2242 therms,,,$-10.71$
NY State and Local Surcharges,,,,,,,1.18,
,,,Total Delivery Services,,,,\$ 889.20,
