Year,Amount Due,,
2014,NORTHERN BLVD MANHASSET NY 11030,2014 NORTHERN BLVD,2014 NORTHERN BLVD
07160-45000,"Mar 20, 2019","$1,985.12","$1,985.12"
**ACCOUNT BALANCE**,,,,
Previous Balance,"2,204.97",,
Payment Received on FEB 12 (Check),THANK YOU,"- 2,204.97","- 2,204.97"
Current Charges,"+ 1,985.12",,
Amount Due,"$1,985.12",,
"To avoid late payment charges of 1.8%, $1,985.12 must be received by Mar 20,2019.",,,
**SUMMARY OF CURRENT CHARSES**,,,,
,DEUVERY SERVICES,BUPPLY SERVICES,TOTAL
Gas Service,889.20,"1,095.92","1,985.12"
Total Current Charges,$589.20,"$1,095.92","$1,985.12"
