Account Number,LOC,Account Name,,Service Address,Tax Type,Rate Class
2976025002,National Grid LI,GOLD COAST REST CORP,,"2 MIDDLENECK RD <br> ROSLYN, <br> NY, <br> $11576-1348$",Residential,SC52A
1938238004,National Grid LI,MANHASSET RESTAURANT,,"2014 NORTHERN BLVD MANHASSET, NY, 11030-3540",Residential,SC52A
0716045000,National Grid LI,MANHASSET <br> RESTARURNT,,"2014 NORTHERN BLVD MANHASSET, NY, 11030-3540",Residential,SC52A
5664109009,National Grid LI,MIRACLE MILE RESTAUR,,"2110 NORTHERN BLVD STE 2 MANHASSET, NY, 11030",Residential,SC52A
4419708002,National Grid LI,MIRACLE MILE REST,,"2110 NORTHERN BLVD UNIT C MANHASSET, NY, 11030",Residential,SC52A
7934645009,National Grid LI,ROSLYN HOSPITALITY,,"1305 OLD NORTHERN BLVD ROSLYN, NY, 11576-1624",Residential,SC52B
9181454007,National Grid LI,ROSLYN HOSPITATILY,,"1295 OLD NORTHERN BLVD ROSLYN, NY, 11576-1624",Residential,SC52B
5508556004,National Grid LI,WHEATLEY RESTAURANT,LLC,"400 WHEATLEY PLZ STR 768 GREENVALE, NY, 11548",Residential,SC52B
6764291002,National Grid LI,WHEATLEY RESTAURANT,,"400 WHEATLEY PLZ GREENVALE, NY, 11548-1326",Residential,SC52A
4373336008,National Grid LI,EAST MEADOW AVE REST,,"272 E MEADOW AVE\# 2 <br> E MEADOW, <br> NY, <br> $11554-2437$",Residential,SC51A
3130277005,National Grid LI,EAST MEADOW AVE REST,,"272 E MEADOW AVE\# 1 <br> E MEADOW, <br> NY, <br> $11554-2437$",Residential,SC51A
6862953004,National Grid LI,EAST MEADOW AV REST,,"284 E MEADOW AVE <br> E MEADOW, <br> NY, <br> $11554-2437$",Residential,SC52A
3068293017,National Grid LI,Gold Coast Rest Corp,,"100 WALT WHITMAN RD STR 206 HUNT STA, NY, 11746",Commercial,
