Price,"Contracted, NYMEX+ or Variable"
How Price is determined,"Electric: Contracted or Variable Price per $\mathrm{KWh} \square$ (Does not include Gross Receipts Tax if box is checked) <br> Gas: Contracted, NYMEX+ or Variable Price per therm/CCF $\square$ (Does not include Line Losses if box is checked) <br> Gas Variable Price shall reflect each month the cost to Marathon to obtain natural gas on your behalf, including, but not limited to, commodity, fuel losses, term capacity, storage, balancing, and transportation to the Delivery Point, plus all fees, applicable taxes, charges, or other assessments, and Marathon's costs, expenses, and profit margins. Weather patterns may cause increases in the variable rate. <br> Electric Variable Price shall reflect each month the cost to Marathon to obtain electricity on your behalf, including, but not limited to, energy, UFE losses, capacity, balancing, settlement, ancillaries, and related transmission and distribution charges, and other market-related factors, plus all fees, applicable taxes, charges, or other assessments, and Marathon's costs, expenses, and margins. <br> NYMEX+ Pricing: shall reflect each month a floating price that may vary based on the Henry Hub Natural Gas Monthly settled per therm price (converted to $\mathrm{cct} / \mathrm{mcf}$ where applicable), prorated by the number of days applicable to each month for the billing cycle, plus the Contracted adder per therm/ccf set forth above. <br> Customer has been advised of all risks associated by signing this contract. Once account has been enrolled, and the LDC has identified a different service class, Marathon reserves the right to adjust the account according to LDC rate classification at current corresponding price plan. <br> In the event of any changes in capacity, transmission related charges, changes to environmental attributes (including zero-emission credits or ZECs) and/or regulatory or other changes, Marathon reserves the right to increase or decrease pricing and/or terminate this Agreement. See sections 3 - Pricing and 16 - Applicable Laws."
"Length of the agreement and end date (""Term"")","For Variable Price Service, the Term continues until either party terminates this Agreement. For Non-Variable Price Service, the Term is for 12 months, unless otherwise specified above (the ""Initial Term""). See section 4 - Term."
Process customer may use to rescind the agreement,Residential Customers may rescind by calling the toll free number at 1-888-779-7255 within three (3) business days of receipt of the sales agreement.
"Administration Fees (""AF"") and method of calculation","No early termination fee for Variable Price service. If Non-Variable Price service, the projected amount of natural gas and/or electricity to be consumed by customer for the remainder of the current Term (see section 4 - Term) multiplied by the difference between the Non-Variable price in effect for the remainder of the current Term and the price at which Marathon can sell such gas and/or electricity following the termination; however, for all residential customers and commercial customers solicited through door-to-door marketing, the Administrative Fee will be no greater than $\$ 100.00$ if the remaining term is less than 12 months and $\$ 200.00$ if the remaining term is 12 months or more. See Section 5 Termination of Non-Variable Agreements. Agreement is based on the energy consumption used in the prior year. A deviation of $\qquad$ $v$ $\qquad$ \% or more may result in additional fees for all commercial customers. See section 3 - Pricing."
Rewards Program,The Program is open to all current Marathon customers in good standing who are 18 years of age or older. Points are earned post enrollment (not retroactively). Rewards points are earned based on payments received and are redeemable by current Customers only via the Marathon Energy MasterCard debit card. Points not used or redeemed prior to termination are forfeited upon the closing of the account. Points not used or redeemed prior to such date or within 12 months of being earned are also forfeited. Marathon reserves the right to adjust credit or debit point balances accordingly. Marathon reserves the right to change the terms and conditions of the rewards program at any time without notice.
Amount of Late Payment Fee and method of calculation,$1.5 \%$ per month on overdue balances.
Provisions for renewal of the agreement,"For Variable Price Service, the Term continues until either party terminates this Agreement. For Non-Variable Price Service, after the end of the Initial Term, this Agreement will automatically continue at a variable rate methodology unless and until this Agreement is terminated by customer. Not less than 30 days and no more than 60 days prior to the expiration of the Initial Term, Marathon will notify Customer in writing and/or by email of the switch to variable rate methodology at which Marathon will continue to serve Customer. Customer will have 15 days from Customer's receipt of such renewal notice to reject this offer and terminate the Agreement. If Marathon does not receive notice of Customer's termination of this Agreement, this Agreement will continue in full force and effect until canceled by customer. See Section 4 -Term."
Regulatory or Other Changes,"If at some future date there is a change in law, rule, regulations, guideline, procedure, tariff, utility, ISO design, ICAP tag, formula or formula input, demand charge, regulatory structure, environmental attribute, emissions requirement, production requirement, component level, component price level or the interpretation or application of any of the foregoing that impacts any term, condition or provision of the agreement, including, but not limited to price, Marathon shall have the right to modify the Agreement. See sections 3 - Pricing and 16 - Applicable Laws. For the avoidance of doubt, any item that is not within the direct control of Marathon and that does or is forecasted to impact Marathon's costs, may result in a modification.",
Guaranteed Savings Special Conditions,This Agreement does not offer guaranteed savings and your rate may be higher than the Utility rate.,,,,,
IN WITNESS WHEREOF: Customer and Marathon hereby accept all Terms \& Conditions set forth on the e e e tary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
