Schedule 10 Sec,06/05-07/06
Total kWh,747403
On Pk Sum A,81702
Off Pk Sum A,114112
On Pk Sum B,226081
Off Pk Sum B,301355
On Pk Sum C,5267
Off Pk Sum C,18908
On Pk Win A,0
Off Pk Win A,0
On Pk Win B,0
Off Pk Win B,0
On Pk Win C,0
Off Pk Win C,0
Contract Dem,1840.0
Dist Demand,1840.0
Measured Usage,
Meter: 0004700031,05/06-06/05
Current Reading,127429
Previous Reading,126893
Total KOH,321600
Current Reading,131009
Previous Reading,130420
Total kWh,353400
Multiplier: 600,
Meter: 0004700031,06/05-07/08
Current Reading,128591
Previous Reading,127429
Total KOH,697200
Current Reading,132254
Previous Reading,131009
Total kWh,747000
Multiplier: 600,
