Customer Service,$1-866-591-0157$
Previous Balance,"4,515.91"
Payment Received,"4,515.91 CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 08/06-09/05 Distribution Service,
Basic Customer Charge,19.89
Distribution Service kWh,3.54
Dist Serv Demand Charge,381.96
All Applicable Distribution Riders,83.45
Electricity Supply Svc (ESS),
Electricity Supply kWh,"1,342.56"
Demand Charge,240.00
Transmission Demand Chg,236.52
Fuel,"1,097.59"
All Other Applicable ESS Riders,584.52
Sales and Use Surcharge,21.71
State/Local Consumption Tax,47.17
SUFFOLK Utility Tax,365.97
Total Current Charges,"4,424.98"
