Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",7906 S HERMTAGE BLDG,CHICAGO,IL,60620,Peoples,0600667672-00016,Choice
"Pangea Ventures, LLC",7948 S HERMTAGE BLDG,CHICAGO,IL,60620,Peoples,0610877223-02955,Choice
"Pangea Ventures, LLC",8101 S DREXEL AVE BLDG,CHICAGO,IL,60619,Peoples,0601520426-00006,Choice
"Pangea Ventures, LLC",1860 S KOMENSKY BLDG,CHICAGO,IL,60623,Peoples,0610877223-00514,Choice
"Pangea Ventures, LLC",9040 S BISHOP BLDG,CHICAGO,IL,60620,Peoples,0610877223-02721,Choice
"Pangea Ventures, LLC",212 E 69TH ST BLDG,CHICAGO,IL,60637,Peoples,0610877223-02571,Choice
"Pangea Ventures, LLC",7601 S COLES AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02602,Choice
"Pangea Ventures, LLC",608 E 51ST ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-02215,Choice
"Pangea Ventures, LLC",751 N MENARD AVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-03124,Choice
"Pangea Ventures, LLC",1101 N LAWIER AVE BLDG,CHICAGO,IL,60651,Peoples,0610877223-02941,Choice
"Pangea Ventures, LLC",7145 S INDIANA AVE BLDG,CHICAGO,IL,60619,Peoples,0608299543-00009,Choice
"Pangea Ventures, LLC",10908 S VERNON AVE BLDG,CHICAGO,IL,60628,Peoples,0610877223-02616,Choice
"Pangea Ventures, LLC",1415 W 80TH ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02969,Choice
"Pangea Ventures, LLC",817 E 80TH ST BSMT,CHICAGO,IL,60619,Peoples,0610877223-02655,Choice
"Pangea Ventures, LLC",1515 E 70TH ST BLDG,CHICAGO,IL,60637,Peoples,0608299543-00001,Choice
"Pangea Ventures, LLC",8107 S DREXEL AVE BSMT,CHICAGO,IL,60619,Peoples,0610877223-00096,Choice
"Pangea Ventures, LLC",6829 S KING DR BLDG,CHICAGO,IL,60637,Peoples,0611977520-00001,Choice
"Pangea Ventures, LLC",5340 W OHIO ST BLDG,CHICAGO,IL,60644,Peoples,0600667672-00013,Choice
"Pangea Ventures, LLC",7655 S MAY ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02577,Choice
"Pangea Ventures, LLC",5758 S WABASH AVE BLDG,CHICAGO,IL,60637,Peoples,0601520426-00010,Choice
"Pangea Ventures, LLC",1501 E 68TH ST BLDG,CHICAGO,IL,60637,Peoples,0610877223-01128,Choice
"Pangea Ventures, LLC",8951 S ADA BLDG,CHICAGO,IL,60620,Peoples,0610877223-00178,Choice
"Pangea Ventures, LLC",9000 S BISHOP ST BSMT,CHICAGO,IL,60620,Peoples,0610877223-02736,Choice
"Pangea Ventures, LLC",7103 S ARTEIAN AVE BLDG,CHICAGO,IL,60629,Peoples,0610877223-02928,Choice
"Pangea Ventures, LLC",708 S KARLOV AVE BLDG,CHICAGO,IL,60624,Peoples,0610877223-00041,Choice
"Pangea Ventures, LLC",6230 S ARTEIAN AVE BLDG,CHICAGO,IL,60629,Peoples,0604355805-00002,Choice
"Pangea Ventures, LLC",3100 E 83RD BLDG,CHICAGO,IL,60617,Peoples,0610877223-02587,Choice
"Pangea Ventures, LLC",7210 S YATES BLDG,CHICAGO,IL,60649,Peoples,0610877223-00315,Choice
"Pangea Ventures, LLC",8806 S COTTAGE AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02946,Choice
"Pangea Ventures, LLC",1500 E 73RD 85MT,CHICAGO,IL,60619,Peoples,0610877223-01080,Choice
"Pangea Ventures, LLC",7800 S ASHLAND AVE STR1,CHICAGO,IL,60620,Peoples,0610877223-01960,Choice
"Pangea Ventures, LLC",8117 S ASHLAND AVE BLDG,CHICAGO,IL,60620,Peoples,0600667672-00004,Choice
