UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price Non TOU (\$/kWh)
PPL,1807132020,"234 Rock Crest Dr, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,1827132035,"49 ROCK CREST DR, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,1887132015,"237 ROCK CREST DR, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,2167136014,"RR1 UNIT 36A, LAUNDRY BUILDING, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,2358056007,"RR1, Allerwood, PA 17810",$03 / 26 / 25$,$03 / 25 / 28$,$\$ 0.05866$
PPL,2713377034,"314 CHERRY LANE ROAD, Kitchen, East Stroudsburg, PA 18301",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,3187026029,"RR 1, BOX 52-E, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,4127131082,"314 CHERRY LANE ROAD INN, East Stroudsburg, PA 18301",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,4607131040,"0 RR 1, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,4627131028,"3437 Route 715, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,4647131024,"0, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,5257574043,"235 ROCK CREST DR, Henryville, PA 18332",$03 / 11 / 25$,$03 / 10 / 28$,$\$ 0.05866$
PPL,6325507039,"314 CHERRY LANE ROAD, Cottages, East Stroudsburg, PA 18301",$03 / 07 / 25$,$03 / 06 / 28$,$\$ 0.05866$
PPL,6488053038,"5972 Susquehanna Tri, Turbotville, PA 17772",$03 / 12 / 25$,$03 / 11 / 28$,$\$ 0.05866$
PPL,6508053036,"5974 Susquehanna Tri, Turbotville, PA 17772",$03 / 12 / 25$,$03 / 11 / 28$,$\$ 0.05866$
PPL,7638059003,"360 WHITE DEER RUN RD, ALLENWOOD, PA 17810-9268",$03 / 26 / 25$,$03 / 25 / 28$,$\$ 0.05866$
PPL,8135097137,"836 Marietta Ave Apt 1, Lancaster, PA 17603",$03 / 24 / 25$,$03 / 21 / 28$,$\$ 0.05866$
PPL,9185988013,"1620 Riverside Dr, Bethlehem, PA 18015",$03 / 24 / 25$,$03 / 21 / 28$,$\$ 0.05866$
