,,,,,,,,,,,232410052467967
,,,,,,,,,,,1024189
,,,,,,,,,,,08/29/23
,,,,,,,,,,,09/28/23
,,,,,,,,,,,Page 1
INVOICE SUMMARY,,,,,,,,,,,
,Previous Balance,"$2,761.77",,,,,,,,,
,"Payment Received (August 25, 2023)","$\$ 2,761.77$",,,,,,,,,
,Total Balance Forward,$\$ 0.00$,,,,,,,,,
Adjustments,$\$ 0.00$,,,,,,,,,,
Late Payment Charge,$\$ 0.00$,,,,,,,,,,
Current Usage Charges,"$\$ 4,498.15$",,,,,,,,,,
Taxes,$\$ 97.26$,,,,,,,,,,
Total Current Charges,"$\$ 4,595.41$",,,,,,,,,,
"Amount Due By September 28, 2023","\$4,595.41",,,,,,,,,,
PAYMENT OPTIONS,,,,,,,,,,,
By web,,,,,,,,,,,
,By phone,888.925 .9115,,,,,,,,,
,By mail,Remittance slip below,,,,,,,,,
QUESTIONS?,,,,,,,,,,,
Visit Us,,,,,,,,,,,
,Call Us,888.925 .9115,,,,,,,,,
,Outages,1.888 .313 .4747,,,,,,,,,
