Year,1131.7,70
,1139.1,62
011908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
$11908201$ AV 0.373,*AUTO,T9 0 1223 62817-494440
$11908201$ AV 0.373,*AUTO,T9 0 1223 62817-494440
$11908201$ AV 0.373,*AUTO,T9 0 1223 62817-494440
$11908201$ AV 0.373,*AUTO,T9 0 1223 62817-494440
011908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
011908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
11908201 AV 0.373,*AUTO,T9 0 1223 62817-494440
