METER DETAIL,,,,,,,,,
Meter Number,Service <br> Period,Days,Reading,,,Total <br> kWh,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
230294004,$2 / 28$ - $3 / 29$,31,20832 A,24332 A,1,"3,500",,,9.5,
CHARGE DETAIL,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"3,500",KWH,\$0.0547900,\$191.77,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$191.77
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$16.68,
Standard Metering Charge,,,,,,,,\$8.12,
Distribution Facilities Charge,,,,,9.52,KW,\$7.4700000,\$71.11,
Single Bill Option Credit,,,,,,,,- $\$ 0.47$,
IL Electricity Distribution Charge,,,,,"3,500.00",KWH,\$0.0011900,\$4.17,
Environmental Cost Recovery Adj,,,,,"3,500.00",KWH,\$0.0003900,\$1.37,
Renewable Portfolio Standard,,,,,"3,500.00",KWH,\$0.0018900,\$6.62,
Zero Emission Standard,,,,,"3,500.00",KWH,\$0.0019000,\$6.65,
Energy Efficiency Programs,,,,,"3,500.00",KWH,\$0.0017500,\$6.13,
Franchise Cost,,,,,\$94.69,,0.0214000,\$2.03,
State Tax,,,,,,,,\$11.39,
Municipal Tax,,,,,,,,\$18.20,
,,,,,,,,\$152.00,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$152.00
TOTAL CURRENT CHARGES,,,,,,,,,\$343.77
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily kWh,Avg Daily Temp,,,,,
Current Month,,9.52,112.90,40,,,,,
Last Month,,9.85,120.31,30,,,,,
Last Year,,9.75,122.68,34,,,,,
