METER DETAIL,,,,,,,,,
Meter Number,Service <br> Period,Days,Reading,,Total,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
230294003,2/28-3/29,31,92298 A,95256 A,1,"2,958",,,6.6
CHARGE DETAIL,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"2,958",KWH,\$0.0547900,\$162.07,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$162.07
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$16.68,
Standard Metering Charge,,,,,,,,\$8.12,
Distribution Facilities Charge,,,,,6.62,KW,\$7.4700000,\$49.45,
Single Bill Option Credit,,,,,,,,- $\$ 0.47$,
IL Electricity Distribution Charge,,,,,"2,958.00",KWH,\$0.0011900,\$3.52,
Environmental Cost Recovery Adj,,,,,"2,958.00",KWH,\$0.0003900,\$1.15,
Renewable Portfolio Standard,,,,,"2,958.00",KWH,\$0.0018900,\$5.59,
Zero Emission Standard,,,,,"2,958.00",KWH,\$0.0019000,\$5.62,
Energy Efficiency Programs,,,,,"2,958.00",KWH,\$0.0017500,\$5.18,
Franchise Cost,,,,,\$72.41,,0.0214000,\$1.55,
State Tax,,,,,,,,\$9.66,
Municipal Tax,,,,,,,,\$16.03,
,,,,,,,,\$122.08,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$122.08
TOTAL CURRENT CHARGES,,,,,,,,\$284.15,
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily,kWh,Avg Daily Temp,,,,
Current Month,,6.62,95.41,,40,,,,
Last Month,,6.89,99.75,,30,,,,
Last Year,,7.90,88.79,,34,,,,
