Meter Number,Service <br> Period,Days,Reading,,,Total <br> kWh,On-Pk <br> kWh,Off-Pk <br> kWh,Peak KW,Coincident <br> Peak KW
,,,Prior,Current,Const,,,,,
230242262,$1 / 24-2 / 21$,,NA,NA,,"4,839",,,17.0 at 02/19 13:00,15.27
230242264,$1 / 24-2 / 21$,,NA,NA,,"2,956",,,8.0 at 01/25 19:00,7.19
Total,,29,,,,"7,795",,,,
Coincident Peak KW,,,,,,,,22.0 at 02/01 16:00,,
CHARGE DETAIL,,,,,,,,,,
Description,,,,,Quantity,Units,Rate,Charge,Totals
ENERGY SUPPLY CHARGES,,,,,,,,,
Energy Charge,,,,,"7,795",KWH,\$0.0562800,\$438.70,
TOTAL ENERGY SUPPLY CHARGES,,,,,,,,,\$438.70
DELIVERY SERVICE CHARGES,,,,,,,,,
Retail Delivery Service - 0 to 100 kW,,,,,,,,,
Customer Charge,,,,,,,,\$18.35,
Standard Metering Charge,,,,,,,,\$10.14,
Distribution Facilities Charge,,,,,25.36,KW,\$7.1100000,\$180.31,
Single Bill Option Credit,,,,,,,,- $\$ 0.46$,
IL Electricity Distribution Charge,,,,,"7,795.00",KWH,\$0.0012100,\$9.43,
Meter Lease,,,,,,,,\$4.84,
Environmental Cost Recovery Adj,,,,,"7,795.00",KWH,\$0.0003000,\$2.34,
Renewable Portfolio Standard,,,,,"7,795.00",KWH,\$0.0014200,\$11.07,
Zero Emission Standard,,,,,"7,795.00",KWH,\$0.0019000,\$14.81,
Energy Efficiency Programs,,,,,"7,795.00",KWH,\$0.0008600,\$6.70,
Franchise Cost,,,,,,,,\$30.88,
State Tax,,,,,,,,\$25.09,
Municipal Tax,,,,,,,,\$36.44,
,,,,,,,,\$349.94,
TOTAL DELIVERY SERVICE CHARGES,,,,,,,,,\$349.94
TOTAL CURRENT CHARGES,,,,,,,,,\$788.64
ACCOUNT USAGE PROFILE,,,,,,,,,
Month Billed,Total,Demand,Avg Daily,kWh,Avg Daily,Temp,,,
Current Month,,25.36,268.79,,20,,,,
Last Month,,24.10,251.97,,31,,,,
Last Year,,22.48,257.20,,27,,,,
