GSA Daily Calculation,,,,,,
Deal ID: 2511401,July 2022,,,Over/Under,,Over/Under
Gas Day,Contract Volume,Usage Volume,Swing Volume,Variance volume,GSA Rate,GSA Cost
7/1/2022,790.32,838.80,0.00,48.48,$\$ 6.395000$,$\$ 310.03$
7/2/2022,790.32,812.40,0.00,22.08,$\$ 5.405000$,$\$ 119.34$
7/3/2022,790.32,818.30,0.00,27.98,$\$ 5.405000$,$\$ 151.23$
7/4/2022,790.32,842.00,0.00,51.68,$\$ 5.405000$,$\$ 279.33$
7/5/2022,790.32,857.80,0.00,67.48,$\$ 5.405000$,$\$ 364.73$
7/6/2022,790.32,862.00,0.00,71.68,$\$ 5.475000$,$\$ 392.45$
7/7/2022,790.32,816.30,0.00,25.98,$\$ 5.460000$,$\$ 141.85$
7/8/2022,790.32,835.00,0.00,44.68,$\$ 5.890000$,$\$ 263.17$
7/9/2022,790.32,824.50,0.00,34.18,$\$ 6.515000$,$\$ 222.68$
7/10/2022,790.32,810.60,0.00,20.28,$\$ 6.515000$,$\$ 132.12$
7/11/2022,790.32,807.40,0.00,17.08,$\$ 6.515000$,$\$ 111.28$
7/12/2022,790.32,820.30,0.00,29.98,$\$ 7.425000$,$\$ 222.60$
7/13/2022,790.32,819.90,0.00,29.58,$\$ 7.795000$,$\$ 230.58$
7/14/2022,790.32,837.70,0.00,47.38,$\$ 7.720000$,$\$ 365.77$
7/15/2022,790.32,847.70,0.00,57.38,$\$ 8.015000$,$\$ 459.90$
7/16/2022,790.32,842.80,0.00,52.48,$\$ 7.390000$,$\$ 387.83$
7/17/2022,790.32,835.10,0.00,44.78,$\$ 7.390000$,$\$ 330.92$
7/18/2022,790.32,825.60,0.00,35.28,$\$ 7.390000$,$\$ 260.72$
7/19/2022,790.32,811.70,0.00,21.38,$\$ 8.680000$,$\$ 185.58$
7/20/2022,790.32,820.50,0.00,30.18,$\$ 8.955000$,$\$ 270.26$
7/21/2022,790.32,815.00,0.00,24.68,$\$ 8.790000$,$\$ 216.94$
7/22/2022,790.32,825.60,0.00,35.28,$\$ 8.780000$,$\$ 309.76$
7/23/2022,790.32,831.70,0.00,41.38,$\$ 8.655000$,$\$ 358.14$
7/24/2022,790.32,829.50,0.00,39.18,$\$ 8.655000$,$\$ 339.10$
7/25/2022,790.32,822.90,0.00,32.58,$\$ 8.655000$,$\$ 281.98$
7/26/2022,790.32,821.70,0.00,31.38,$\$ 9.250000$,$\$ 290.27$
7/27/2022,790.32,820.10,0.00,29.78,$\$ 9.915000$,$\$ 295.27$
7/28/2022,790.32,816.00,0.00,27.68,$\$ 9.065000$,$\$ 250.92$
7/29/2022,790.32,831.00,0.00,40.68,$\$ 8.610000$,$\$ 350.25$
7/30/2022,790.32,830.30,0.00,39.98,$\$ 8.610000$,$\$ 344.23$
7/31/2022,790.40,822.60,0.00,32.20,$\$ 8.610000$,$\$ 277.24$
TOTAL,"34,500.00","25,654.80",0.00,"1,154.60",$\$ 7.374844$,"$\$ 8,518.47$"
