Account Number,Service Location,Utility,Utility <br> Rate <br> Class,Zone,Capacity Tags,*Estimated Meter Read Start Date (MM/DD/YYYY),Purchase Price (cents/KWh),Annual Historical Usage (kWh)
0348216334,608 S 3rd St,"I,IPWR",DS2,MISO,35.8,11/03/2024,7.429,"218,328"
0630049007,1790 Frank Scott Pkway,"I,IPWR",DS2,MISO,69.3,11/12/2024,7.429,"419,943"
2180728018,721 W. Main St,"I,IPWR",DS2,MISO,26.1,11/04/2024,7.429,"136,241"
2340358417,1920 Carlyle Ave,"I,IPWR",DS2,MISO,52.2,11/11/2024,7.429,"332,029"
2432521138,1 Howellman Dr,"I,IPWR",DS2,MISO,44.2,11/18/2024,7.429,"251,228"
2792298412,701 Main Street,"I,IPWR",DS2,MISO,40.2,11/04/2024,7.429,"278,140"
3778453000,1790 Frank Scott Pkwy E,"I,IPWR",DS2,MISO,67.7,11/13/2024,7.429,"387,784"
3825581932,15 N 8th Street,"I,IPWR",DS2,MISO,4.8,11/04/2024,7.429,"22,191"
4170444010,8401 US Hwy 50,"I,IPWR",DS2,MISO,79.9,11/14/2024,7.429,"457,687"
4599189938,1905 N Main Street,"I,IPWR",DS2,MISO,33.2,10/31/2024,7.429,"189,052"
4957891054,286 Southwoods Clr,"I,IPWR",DS2,MISO,41.5,10/24/2024,7.429,"199,313"
4959628014,702 Vandalia St,"I,IPWR",DS2,MISO,40.0,11/18/2024,7.429,"245,120"
5077694095,601 S main st,"I,IPWR",DS2,MISO,36.1,11/06/2024,7.429,"240,196"
5158387219,1 Club Centre Ct,"I,IPWR",DS2,MISO,51.1,10/28/2024,7.429,"302,134"
5166807697,1324 N Illinois St,"I,IPWR",DS2,MISO,37.3,11/03/2024,7.429,"214,800"
7490425931,723 W main St,"I,IPWR",DS2,MISO,9.1,11/04/2024,7.429,"40,631"
8118072657,435 W Holmes St,"I,IPWR",DS2,MISO,62.2,11/13/2024,7.429,"361,064"
8472742890,511 S Main St,"I,IPWR",DS2,MISO,32.3,10/29/2024,7.429,"177,875"
8567086258,415 S Macoupin St,"I,IPWR",DS2,MISO,29.5,11/11/2024,7.429,"160,614"
8980001291,500 W Main Street,"I,IPWR",DS2,MISO,30.8,11/18/2024,7.429,"213,112"
