Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"1,210.35"
Payment Received,"1,210.35CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 05/06-06/05,
Distribution Service,
Basic Customer Charge,19.89
Distribution Service kWh,0.95
Dist Serv Demand Charge,120.95
All Applicable Distribution Riders,18.99
Electricity Supply Svc (ESS),
Electricity Supply kWh,401.44
Demand Charge,76.00
Transmission Demand Chg,74.89
Fuel,342.90
All Other Applicable ESS Riders,166.51
Sales and Use Surcharge,5.84
State/Local Consumption Tax,13.70
NEWPORT NEWS Utility Tax,72.58
Base Rate Case Credit,265.13CR
Total Current Charges,"1,049.51"
Total Account Balance,"1,049.51"
