Usage History,,,,,,,,,,,,,,
600000,,,,,,,,,,,,,,
500000,,,,,,,,,,,,,,
400000,,,,,,,,,,,,,,
300000,,,,,,,,,,,,,,
200000,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,
On/Poet-Load in KWIKVA,,,,,,,,,,,,,,
Off-reak Load in KWIKVA,,,,,,,,,,,,,,
OnPeak KVAR,,,,,,,,,,,,,,
OffPeak KVAR,,,,,,,,,,,,,,
(Mied Load in KWIKVA,,,,,,,,,,,,,,
Changes From Met-Ed,,,,,,,,,,,,,,
"When contacting an Electric Generation Supplier, please provide the following Customer Number: 0600818046 0006241017",,,,,,,,,,,,,,
Rate: General Service Primary ME-GPP,,,,,,,,,,,,,,
Hourly Pricing Service Charge,267.122 KWH,,,$\times 0.048942$,,,,,,,,,,
Customer Charge,,,,,,,,,,,,,,
Distribution System Improvement Charge,,,,,,,,,,,,,,
Distribution Charge,844.2 KW,,,$\times 2.980000$,,,,,,,,,,
,216.9 KVAR,,,$\times 0.200000$,,,,,,,,,,
Energy Efficiency Charge Phase IV,866.3 KW,,,$\times 0.080000$,,,,,,,,,,
Solar Requirements Charge,267.122 KWH,,,$\times 0.000280$,,,,,,,,,,
Default Service Support Charge,690.2 KW,,,$\times 0.764000$,,,,,,,,,,
TCJA Voluntary Surcharge,,,,,,,,,,,,,,
State Sales Tax,,,,,,,,,,,,,,
Current Consumption Bill Charges,,,,,,,,,,,,,,"17,831.94"
,Detail Payment and Adjustment Information,,,,,,,,,,,,,
0301023,Payment,,,,,,,,,,,,,"13,642.16"
