Natural Gas Usage - March 2020,,,,,
Metered Usage,195.00 Dth,,Balance Forward,,\$0.00
Fuel Loss @ 1.35\%,2.67 Dth,,Current Month's Charges,,\$797.05
Peak Day Quantity (PDQ),19 Dth,,Late Charge,,\$0.00
Gas Supply Charges,,,Total Due,,\$797.05
Commodity Amt @ \$1.6203/Dth,\$320.29,,,,
Utility Distribution Charges,,,,,
Service \& Facility Fee @ \$58.58,\$58.58,Natural Gas,,,
Transport Amt @ \$1.6606/Dth,\$323.82,Meter \# 10002241,,,
Franchise or Occupational Fee @ 3\%,\$11.47,Day,Usage,Day,Usage
,,1,7.00,12,8.00,23,8.00
,,2,8.00,13,7.00,24,6.00
Additional Charges,,3,8.00,14,7.00,25,5.00
Upstream Charge,\$21.74,4,7.00,15,9.00,26,7.00
,,5,8.00,16,7.00,27,5.00
Taxes,,6,6.00,17,6.00,28,5.00
Colorado @ 2.90\%,\$21.34,7,6.00,18,6.00,29,6.00
Denver County @ 0.00\%,\$0.00,8,7.00,19,1.00,30,7.00
Denver @ 4.31\%,\$31.72,9,6.00,20,4.00,31,6.00
RTD @ 1.10\%,\$8.09,10,7.00,21,2.00,,
Current Month's Total,\$797.05,11,5.00,22,8.00,Total,195.00
