Property Name,Units Phone,TDSP,Property Address,City,Zip,Start
AMU 2121,430 713-529-7700,CNP,2121 Allen Pkwy,Houston,77019,6/1/2020
AMU Addison,349 469-450-3061,ONC,15250 Quorum Dr,Addison,75001,6/1/2020
AMU at City Vista,404 713-526-2211,CNP,2221 W DALLAS ST,Houston,77019,6/1/2020
AMU at Escena,330 972-910-0332,ONC,6401 Escena Blvd,Irving,75039,6/1/2020
AMU at Escena Ph II,110 972-910-0332,ONC,6401 Escena Blvd,Irving,75039,6/1/2020
AMU at Memorial,380 713-862-9400,CNP,3003 MEMORIAL CT,Houston,77007,6/1/2020
AMU at The Ballpark,332 469-888-7100,ONC,7755 John Q Hammons,Frisco,75034,6/1/2020
AMU Campion Trail,483 972-910-0316,ONC,777 LAKE CAROLYN PKWY,Irving,75039,6/1/2020
AMU Design District,314 214-658-1400,ONC,1400 HI LINE DR,Dallas,75207,6/1/2020
AMU Frisco Crossing,366 972-763-8444,ONC,7275 TEXAS RANGERS DR,Frisco,75034,6/1/2020
AMU Las Colinas,341 972-402-0007,ONC,1050 Lake Carolyn Pkwy,Irving,75039,6/1/2020
AMU on Maple,300 214-351-9800,ONC,6008 Maple Ave,Dallas,75235,6/1/2020
AMU on Riverside,324 972-599-0342,ONC,310 GRAN VIA,Irving,75039,6/1/2020
AMU Quadrangle,220 214-975-0111,ONC,2717 Howell,Dallas,75204,6/1/2020
Amli River Oaks,275 855-577-6691,CNP,1340 W Gray St,Houston,77019,6/1/2020
AMU Uptown,238 713-960-4970,CNP,2525 McCue Rd,Houston,77056,6/1/2020
AMU West Plano,264 972-599-1360,ONC,5961 W PARKER RD,Plano,75093,6/1/2020
Total,5460,,,,,
