Contract,*Contract Terms: Fixed price over contract period.,,,
Power <br> Sources <br> Demand for this <br> electricity <br> product in the <br> period 4/1/20- <br> 3/31/21 was <br> assigned <br> generation <br> from the <br> following <br> sources.,Power Sources,Known <br> Resources,System Power,Total
,Air-source heat pump,$0.00 \%$,$0.06 \%$,$0.06 \%$
,Biogas,$0.00 \%$,$0.01 \%$,$0.01 \%$
,Biomass,$0.00 \%$,$2.05 \%$,$2.05 \%$
,Coal,$0.00 \%$,$0.53 \%$,$0.53 \%$
,Diesel,$0.00 \%$,$0.55 \%$,$0.55 \%$
,Digester gas,$0.00 \%$,$0.10 \%$,$0.10 \%$
,Efficient Resource <br> (Maine),$0.00 \%$,$0.09 \%$,$0.09 \%$
,Energy Storage,$0.00 \%$,$0.03 \%$,$0.03 \%$
,Fuel cell,$0.00 \%$,$0.48 \%$,$0.48 \%$
,Geothermal,$0.00 \%$,$0.00 \%$,$0.00 \%$
,Ground- and Water- <br> source heat pump,$0.00 \%$,$0.03 \%$,$0.03 \%$
,Hydroelectric/Hydrop <br> ower,$0.00 \%$,$6.21 \%$,$6.21 \%$
,Hydrokinetic,$0.00 \%$,$0.00 \%$,$0.00 \%$
,Jet,$0.00 \%$,$0.01 \%$,$0.01 \%$
,Landfill gas,$0.00 \%$,$0.53 \%$,$0.53 \%$
,Liquid biofuels,$0.00 \%$,$0.56 \%$,$0.56 \%$
,Municipal solid waste,$0.00 \%$,$0.66 \%$,$0.66 \%$
,Natural Gas,$0.00 \%$,$45.91 \%$,$45.91 \%$
,Nuclear,$0.00 \%$,$24.99 \%$,$24.99 \%$
,Oil,$0.00 \%$,$4.82 \%$,$4.82 \%$
,Solar Photovoltaic,$0.00 \%$,$5.18 \%$,$5.18 \%$
,Solar Thermal,$0.00 \%$,$0.01 \%$,$0.01 \%$
