Month,Year,MWh
Feb,2020,361.81
Mar,2020,391.75
Apr,2020,375.45
May,2020,393.13
Jun,2020,409.16
Jul,2020,460.53
Aug,2020,454.00
Sep,2020,464.83
Oct,2020,443.59
Nov,2020,381.32
Dec,2020,369.45
Jan,2021,353.96
Feb,2021,361.81
Mar,2021,391.75
Apr,2021,375.45
May,2021,393.13
Jun,2021,409.16
Jul,2021,460.53
Aug,2021,454.00
Sep,2021,464.83
Oct,2021,443.59
Nov,2021,381.32
Dec,2021,369.45
Jan,2022,353.96
Feb,2022,361.81
Mar,2022,391.75
Apr,2022,375.45
May,2022,393.13
Jun,2022,409.16
Jul,2022,460.53
Aug,2022,454.00
