EXHIBIT D Delivery Points,,,,,,,,
Delv. Pt\#,Account Number,Meter Number,Service <br> Address,"City, State, <br> Zip",Utility,Load Zone,Method of <br> Billing,Meter Read <br> Date/Special Date
1,0240218017,0240218017,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/08/2022
2,0240230013,0240230013,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/08/2022
3,0321997022,0321997022,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/22/2022
4,0377298032,0377298032,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/17/2022
5,1477211038,1477211038,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/14/2022
6,1534222039,1534222039,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/17/2022
7,1609121003,1609121003,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/23/2022
8,2795273033,2795273033,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/22/2022
9,3966866038,3966866038,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/14/2022
10,3967671015,3967671015,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/21/2022
11,3967723023,3967723023,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/08/2022
12,5213118038,5213118038,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/14/2022
13,5213953019,5213953019,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/21/2022
14,6459763034,6459763034,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/14/2022
15,7706026036,7706026036,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/14/2022
16,7706837020,7706837020,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/21/2022
17,7706892030,7706892030,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/18/2022
18,7834512030,7834512030,,", MA",MECO,NEMASSBO <br> ST,Dual Billing,11/23/2022
