ISO,STATE,UTILITY,OUTAGE/ EMERGENCY CONTACT
ISONE,CT,Connecticut Light and Power,800-592-2000
ISONE,CT,The United Illuminating Company,1-800-722-5584
ISONE,MA,NSTAR Electric Company dba Eversource Energy,800-592-2000
ISONE,MA,Nantucket Electric Company,1-800-233-5325
ISONE,MA,Massachusetts Electric Company,1-800-465-1212
ISONE,MA,Fitchburg Gas and Electric Light Company,888-301-7700
ISONE,MA,Western Massachusetts Electric Company,877-659-6326
ISONE,ME,Bangor Hydro Electric District,1-855-363-7211
ISONE,ME,Maine Public District,1-855-363-7211
ISONE,ME,Central Maine Power,800-696-1000
ISONE,NH,New Hampshire Electric Coop,1-800-343-6432
ISONE,NH,Liberty Utilities,1-800-833-4200
ISONE,NH,Unitil Energy Systems,NH Capital Region: 800-852-3339 <br> NH Seacoast Region: 800-582-7276
ISONE,NH,Public Service Company of New Hampshire,800-662-7764
ISONE,RI,Narraganset Electric Company,1-800-465-1212
