Service Agreement ID: 2076093296,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,525.000000 Therm,\$428.86
Total,,,"\$1,565.15"
Service For: 4950 CHERRY AVE BLDG 2,,,
Service Agreement ID: 2078415296 Bldg 11 Apt 2,,,
PG\&E Electric Delivery Charges,1010272398,65.470300 kWh,\$17.29
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2078659652,,,
SAN JOSE CLEAN ENERGY Electric Generation,,65.470300 kWh,\$9.35
Total,,,-\$28.70
Service For: 4950 CHERRY AVE BLDG 8-B,,,
Service Agreement ID: 2071565938 FIRE ALARM,,,
PG\&E Electric Delivery Charges,1006954059,6.210500 kWh,\$12.04
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2071980486,,,
SAN JOSE CLEAN ENERGY Electric Generation,,6.210500 kWh,\$0.90
Total,,,-\$42.40
Service For: 4950 CHERRY AVE BLDG 8-A,,,
Service Agreement ID: 2076563391 HSE MTR,,,
PG\&E Electric Delivery Charges,1010272579,154.102900 kWh,\$40.77
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2079342334,,,
SAN JOSE CLEAN ENERGY Electric Generation,,154.102900 kWh,\$22.00
Total,,,\$7.43
Service For: 4950 CHERRY AVE BLDG 9-A,,,
Service Agreement ID: 2076752175 Bldg 11 Apt 9,,,
PG\&E Electric Delivery Charges,1010272548,278.771500 kWh,\$73.94
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2076786906,,,
SAN JOSE CLEAN ENERGY Electric Generation,,278.771500 kWh,\$39.79
Total,,,\$58.39
Service For: 4950 CHERRY AVE BLDG 10,,,
Service Agreement ID: 2077745022 Bldg 11 Apt 10,,,
PG\&E Electric Delivery Charges,1006954078,432.483800 kWh,\$130.54
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2079217704,,,
SAN JOSE CLEAN ENERGY Electric Generation,,432.483800 kWh,\$62.78
