Service Agreement ID: 2074678080,,,,
,Meter Number,,Usage,Amount
,"9,10,11",,,
PG\&E Gas Delivery Charges,62392188,,368.000000,
Service Agreement ID: 2075648333,,,,
COMMERCIAL ENERGY Gas Procurement Charges,,,368.000000,
Total,,,,"\$1,235.07"
Service For: 4950 CHERRY AVE BLDG 15,,,,
Service Agreement ID: 2073463235 UTIL RM,,,,
PG\&E Electric Delivery Charges,1011329176,,153.215500,
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 2079751173,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,153.215500,
Total,,,,\$7.25
Service For: 4950 CHERRY AVE BLDG 16,,,,
Service Agreement ID: 2077004451 HSE MTR-BLDG 16,,,,
PG\&E Electric Delivery Charges,1010272557,,31.699700,
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 2077694268,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,31.699700,
Total,,,,- $\$ 38.48$
Service For: 4950 CHERRY AVE BLDG 17,,,,
Service Agreement ID: 2074678130 REC RM,,,,
PG\&E Gas Delivery Charges,61599638,,158.000000,
Service Agreement ID: 2070331521,,,,
COMMERCIAL ENERGY Gas Procurement Charges,,,158.000000,
Total,,,,\$545.78
Service For: 4950 CHERRY AVE BLDG 11,,,,
Service Agreement ID: 2072883336 UTILITY RM-BLDG 11,,,,
PG\&E Electric Delivery Charges,1010272630,,117.974400,
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 2072897566,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,117.974400,
Total,,,,- $\$ 7.26$
Service For: 4950 CHERRY AVE,,,,
"Service Agreement ID: 2075611967 HSE MTR \#12,13,15",,,,
PG\&E Electric Delivery Charges,1006952543,,786.705600,
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 2078113345,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,786.705600,
