Service For: 4500 THE WOODS DR MAINTENANCE BLDG,,,,
Service Agreement ID: 0133463120,,,,
PG\&E Electric Delivery Charges,1009104647,,217.000000 kWh,$\$ 12.79$
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 0138670094,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,217.000000 kWh,$\$ 0.00$
Total,,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 1,,,,
Service Agreement ID: 0138670941,,,,
PG\&E Gas Delivery Charges,39752537,,164.000000 Therm,$\$ 354.99$
Service Agreement ID: 0135486713,,,,
COMMERCIAL ENERGY Gas Procurement Charges,,,164.000000 Therm,$\$ 134.67$
Total,,,,$\$ 489.66$
Service For: 4500 THE WOODS DR BLDG 20,,,,
Service Agreement ID: 0135135675,,,,
PG\&E Electric Delivery Charges,1009177465,,132.000000 kWh,$\$ 12.79$
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 0139244063,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,132.000000 kWh,$\$ 0.00$
Total,,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 33,,,,
Service Agreement ID: 0133540833,,,,
PG\&E Electric Delivery Charges,1009113701,,121.000000 kWh,$\$ 12.79$
Electric Adjustments,,,,$-55.34$
Service Agreement ID: 0130785643,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,121.000000 kWh,$\$ 0.00$
Total,,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 6,,,,
Service Agreement ID: 0131183016,,,,
PG\&E Gas Delivery Charges,25726602,,129.000000 Therm,$\$ 279.23$
Service Agreement ID: 0132586632,,,,
COMMERCIAL ENERGY Gas Procurement Charges,,,129.000000 Therm,$\$ 105.92$
Total,,,,$\$ 385.15$
Service For: 4500 THE WOODS DR BLDG 22,,,,
Service Agreement ID: 0134836747,,,,
PG\&E Gas Delivery Charges,40959446,,135.000000 Therm,$\$ 354.52$
