Service Agreement ID: 0131475882,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,190.000000,
Total,,,\$567.27
Service For: 4500 THE WOODS DR BLDG 34,,,
Service Agreement ID: 0134960181,,,
PG\&E Gas Delivery Charges,54764600,122.000000,
Service Agreement ID: 0136569298,,,
COMMERCIAL ENERGY Gas Procurement Charges,,122.000000,
Total,,,\$364.25
Service For: 4500 THE WOODS DR BLDG 16,,,
Service Agreement ID: 0137703213,,,
PG\&E Electric Delivery Charges,1009177661,100.000000,
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0136427897,,,
SAN JOSE CLEAN ENERGY Electric Generation,,100.000000,
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 5,,,
Service Agreement ID: 0130968027,,,
PG\&E Gas Delivery Charges,55130174,142.000000,
Service Agreement ID: 0131629659,,,
COMMERCIAL ENERGY Gas Procurement Charges,,142.000000,
Total,,,\$423.98
Service For: 4500 THE WOODS DR BLDG 14,,,
Service Agreement ID: 0131961891,,,
PG\&E Gas Delivery Charges,44137753,143.000000,
Service Agreement ID: 0139974843,,,
COMMERCIAL ENERGY Gas Procurement Charges,,143.000000,
Total,,,\$426.98
Service For: 4500 THE WOODS DR BLDG 17,,,
Service Agreement ID: 0131976558,,,
PG\&E Gas Delivery Charges,54071952,63.000000,
Service Agreement ID: 0138360376,,,
COMMERCIAL ENERGY Gas Procurement Charges,,63.000000,
Total,,,\$188.12
Service For: 4500 THE WOODS DR BLDG 27,,,
Service Agreement ID: 0138010078,,,
PG\&E Gas Delivery Charges,3051542X,160.000000,
