Service Agreement ID: 0323161773,Meter Number,Usage,Amount
PG&E Gas Delivery Charges,62181746,524.000000,"1,134.21"
Service Agreement ID: 0321856385,524.000000,,$430.26
COMMERCIAL ENERGY Gas Procurement Charges,,,"$1,670.32"
Total,,,,"$1,670.32"
Service For: 4200 THE WOODS DR BLDG 4-6,,,,
Service Agreement ID: 0326015647,1009097628,43.000000,kWh,$12.79
PG&E Electric Delivery Charges,,,,-55.34
Electric Adjustments,,,,-55.34
Service Agreement ID: 0327674550,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,43.000000,kWh,$0.00
Service Agreement ID: 0325542336,,,,
PG&E Gas Delivery Charges,62176416,358.000000,,$774.89
Service Agreement ID: 0321158811,,,,
COMMERCIAL ENERGY Gas Procurement Charges,,,358.000000,,$293.94
Total,,,,"$1,026.28"
Service For: 4200 THE WOODS DR BLDG 5,,,,
Service Agreement ID: 0327373162,,,,
PG&E Electric Delivery Charges,1009113113,29.000000,kWh,$12.79
Electric Adjustments,,,,-55.34
Service Agreement ID: 0326912799,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,29.000000,kWh,$0.00
Total,,,,-$42.55
Service For: 4200 THE WOODS DR BLDG 4,,,,
Service Agreement ID: 0324820755,,,,
PG&E Electric Delivery Charges,1009113961,75.000000,kWh,$23.32
Electric Adjustments,,,,-55.34
Service Agreement ID: 0324335682,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,75.000000,kWh,$11.08
Total,,,,-$20.94
Service For: 4200 THE WOODS DR BLDG 1-3,,,,
Service Agreement ID: 0324768250,,,,
PG&E Electric Delivery Charges,1009180626,71.000000,kWh,$70.70
Electric Adjustments,,,,-55.34
Service Agreement ID: 0329644905,,,,
SAN JOSE CLEAN ENERGY Electric Generation,,,71.000000,kWh,$0.00
Service Agreement ID: 0329953515,,,,
PG&E Gas Delivery Charges,62176462,483.000000,,"$1,045.46"
