,Meter Number,Usage,Amount
Service Agreement ID: 0325923212,,,
COMMERCIAL ENERGY Gas Procurement Charges,,483.000000,Therm
Total,,,"\$1,457.43"
Service For: 4200 THE WOODS DR BLDG 2,,,
Service Agreement ID: 0328807488,,,
PG\&E Electric Delivery Charges,1009111652,27.000000,kWh
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0329731053,,,
SAN JOSE CLEAN ENERGY Electric Generation,,27.000000,kWh
Total,,,- $\$ 42.55$
Service For: 4200 THE WOODS DR BLDG 3,,,
Service Agreement ID: 0325750962,,,
PG\&E Gas Delivery Charges,726806A,63.000000,Therm
Service Agreement ID: 0325354843,,,
COMMERCIAL ENERGY Gas Procurement Charges,,63.000000,Therm
Total,,,\$212.97
Service For: 4200 THE WOODS DR BLDG 10-11,,,
Service Agreement ID: 0323364853,,,
PG\&E Gas Delivery Charges,62304771,338.000000,Therm
Service Agreement ID: 0320985265,,,
COMMERCIAL ENERGY Gas Procurement Charges,,338.000000,Therm
Total,,,"\$1,009.15"
