,Meter Number,Usage,Amount
Service For: 4100 THE WOODS DR BLDG 2,,,
Service Agreement ID: 9068860984,,,
PG\&E Electric Delivery Charges,1009180358,338.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9065700298,,,
SAN JOSE CLEAN ENERGY Electric Generation,,338.000000 kWh,\$30.37
Total,,,- $\$ 14.25$
Service For: 4100 THE WOODS DR BLDG 2,,,
Service Agreement ID: 9061037672,,,
Gas Charges,61531690,58.000000 Therm,\$115.04
Total,,,\$115.04
Service For: 4100 THE WOODS DR,,,
Service Agreement ID: 9064468507,,,
PG\&E Electric Delivery Charges,1009857050,"4,572.000000 kWh",$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9063947823,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"4,572.000000 kWh",$\$ 639.41$
Service Agreement ID: 9067363311,,,
Gas Charges,813976C,249.000000 Therm,\$473.03
Total,,,"\$1,067.82"
Service For: 4100 THE WOODS DR BLDG 6,,,
Service Agreement ID: 9063149813,,,
PG\&E Electric Delivery Charges,1009180366,317.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9063432387,,,
SAN JOSE CLEAN ENERGY Electric Generation,,317.000000 kWh,$\$ 44.43$
Total,,,- $\$ 0.19$
Service For: 4100 THE WOODS DR BLDG 4,,,
Service Agreement ID: 9060786125,,,
PG\&E Electric Delivery Charges,1009180403,272.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9064673479,,,
SAN JOSE CLEAN ENERGY Electric Generation,,272.000000 kWh,$\$ 37.89$
Total,,,- $\$ 6.73$
