Electric Delivery Service,,,,,,,
DS-2 Small General Delivery Service,,,,Service From,04/15/2020,to,05/14/2020
Meter Reassignment Provision,Smart Meter,,,,,,
Customer Charge,,,,\$26.45,,,
Meter Charge,,,,\$8.32,,,
Distribution Delivery Charge Non-Summer,,"2,000.00",kWh,@,\$. 02415000,\$48.30,
Distribution Delivery Charge Non-Summer,,"1,600.00",kWh,@,\$. 01237000,\$19.79,
Total Delivery Service Amount,,,,,,,\$102.86
Electric Power Supply - Constellation NewEnergy,,,,,,,
844.636.3749 www.constellation.com,,,,,,,
Refer to supply contract for details,,,,Service From,04/15/2020,to,05/14/2020
Fixed Price Transactions,,"3,600.00 kWh",@,\$. 05000000,\$180.00,,
Market Charges,,1.00,@,$\$ .00000000$,\$0.00,,
Total Supplier Charge,,,,,,\$180.00,
Taxes,,,,Service From,04/15/2020,to,05/14/2020
Customer Generation Charge,,,,\$0.09,,,
Clean Energy Assistance Charge,,"3,600.00 kWh",@,\$. 00176000,\$6.34,,
Renewable Energy Adjustment,,"3,600.00 kWh",@,\$. 00181000,\$6.52,,
EDT Cost Recovery,,"3,600.00 kWh",@,\$. 00121680,\$4.38,,
Electric Environmental Adjustment,,"3,600.00 kWh",@,\$. 00175910,\$6.33,,
Energy Efficiency Programs Charge,,"3,600.00 kWh",@,\$. 00239000,\$8.60,,
Cahokia Municipal Tax,,,,,\$12.54,,
Illinois State Electricity Excise Tax,,,,,\$11.70,,\$56.50
Total Tax Related Charges,,,,,,,
