,Utility <br> Name,Account <br> Number,DBA,Service Address,Estimated <br> Start Date*,Service <br> End Date,Bill <br> Option**,PLC,NSPL,Tax <br> Exempt <br> \%***
1,MetEd,0800779547000 <br> 3109024,,"3864 Easton Nazareth Hwy, Easton, PA 18045",10/25/2024,12/07/2027,UCB,210.81,204.07,
2,MetEd,0800779547000 <br> 6449354,,"2200 Lebanon Valley Mall, Lebanon, PA 17042",10/25/2024,12/06/2027,UCB,142.91,141.81,
3,MetEd,0805234769000 <br> 7450175,,"455 TOWN CENTER DR, YORK, PA 17408",10/25/2024,12/14/2027,UCB,231.53,234.54,
4,PECO,0421204790,United Artists,"3720 MAIN ST MOVIE TH, PHILADELPHIA, PA 19127",10/25/2024,11/29/2027,UCB,185.96,189.33,
5,PECO,0477654753,,"0 County-Line Rd BLDG A, Warrington, PA 189876",10/25/2024,12/22/2027,UCB,433.65,441.51,
6,PECO,3311372938,United Artists,"1619 GRANT AVE *SIGN 2, PHILADELPHIA, PA 19115",10/25/2024,11/30/2027,UCB,0.01,0.01,
7,PECO,3997623840,,"1011 RIDGE PIKE THEATRE, CONSHOHOCKEN, PA 19428",10/25/2024,12/02/2027,UCB,181.56,184.85,
8,PECO,4313222798,,"232 MALL BLVD 3PH, KING OF PRUSSIA, PA 19406",10/25/2024,11/30/2027,UCB,6.68,6.80,
9,PECO,4980436259,,"232 MALL BLVD THEATRE ELEC, KING OF PRUSSIA, PA 19406",10/25/2024,11/30/2027,UCB,419.18,426.77,
10,PECO,6506735564,United Artists,"1619 GRANT AVE MOVIES, PHILADELPHIA, PA 19115",10/25/2024,11/30/2027,UCB,202.63,206.30,
11,PECO,6927471195,,"4777 W CHESTER PIKE, NEWTOWN SQUARE, PA 19073",10/25/2024,12/14/2027,UCB,178.76,182.00,
12,PECO,6990450971,,"0 QUARRY RD, <br> DOWNINGTOWN, PA 19335",10/25/2024,12/22/2027,UCB,341.39,347.57,
13,PECO,8132276290,United Artists,"3720 MAIN ST SITE LGT, PHILADELPHIA, PA 19127",10/25/2024,11/29/2027,UCB,0.29,0.30,
14,PPL,0417237015,,"1246 MILLERSVILLE PIKESTE 754 CINEMA, LANCASTER, PA 17603",10/25/2024,12/14/2027,UCB,253.93,193.41,
15,PPL,2753850012,New Regal Cinema Holdings,"CAUGHY DR, HARRISBURG, PA 17110",10/25/2024,12/13/2027,UCB,233.87,198.80,
16,PPL,4818040009,New Regal Cinema Holdings,"LAUREL MALL RT 93, HAZLETON, PA 18201",10/25/2024,12/14/2027,UCB,159.75,126.61,
17,PPL,7995961028,,"3909 COMMERCE BLVD OUTLET 6, DICKSON CITY, PA 18519",10/25/2024,12/02/2027,UCB,228.24,192.30,
