BRAND,ADDRESS,EITY,ST,ZIP,Meter \#,UTILITY,ACCOUNT NUMBER,START DATES
Applebee's,5788 Coventry Ln,Fort Wayne,IN,46804,0904597,NIPSCO,396787008,11/1/2023
Applebee's,4510 N Clinton St,Fort Wayne,IN,46825,9384358,NIPSCO,376787006,11/1/2023
Applebee's,670 Morthland Dr,Valparaiso,IN,46385,1437162,NIPSCO,394187002,11/1/2023
Applebee's,6615 N Main St,Granger,IN,46530,G0066497,NIPSCO,114787001,11/1/2023
Applebee's,8425 Broadway,Merrillville,IN,46410,G0149971,NIPSCO,147887007,11/1/2023
Applebee's,1807 Rieth Blvd,Goshen,IN,46526,7992187,NIPSCO,545587000,11/1/2023
Applebee's,2621 E Center St,Warsaw,IN,46580,G0149787,NIPSCO,566787004,11/1/2023
Applebee's,6525 Lima Rd,Fort Wayne,IN,46818,8092496,NIPSCO,552587003,11/1/2023
Applebee's,2225 N Oak Dr,Plymouth,IN,46563,7992171,NIPSCO,925587000,11/1/2023
Applebee's,6211 US Highway 6,Portage,IN,46368,9440837,NIPSCO,572787009,11/1/2023
Applebee's,602 Fairview Blvd,Kendallville,IN,46755,0001025,NIPSCO,375187002,11/1/2023
Applebee's,330 Ridge Rd,Munster,IN,46321,0904556,NIPSCO,722787009,11/1/2023
Applebee's,5414 Meijer Dr,Fort Wayne,IN,46835,9407993,NIPSCO,776787006,11/1/2023
Applebee's,202 E Wendell Jacob Ave,Angola,IN,46703,G0125884,NIPSCO,195787006,11/1/2023
Applebee's,507 Ley Dr,Auburn,IN,46706,0001040,NIPSCO,166787008,11/1/2023
Applebee's,1150 E Ireland Rd,South Bend,IN,46614,9285173,NIPSCO,357887007,11/1/2023
Papa John's,1100 W Broadway St,Monticello,IN,47960,G0364884,NIPSCO,7628980014,11/1/2023
