,,,Statement Issued,12/12/2016
,,,Amount Due,\$453.86
Account Number,8552511128,,Due Date,"Dec 27, 2016"
Customer Name,,,,
Service Address,"2600 HOMER ADAMS PKWY, <br> LITE PARKING LOT <br> ALTON, IL 62002",,,
Payment Itemals,,,,
,DATE,AMOUNT,,
Payment Received,"November 21, 2016",\$324.42,,
Electric Service Non-Residential Oiling Retail - Date: January,,,,
Electric Meter Read for 11/88/2016 - 12/87/2016 (31 days),,,,
READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,08165610,21082.0000 Actual,15549.0000 Actual,5533.0000,1.0000,5533.0000
Usage Summary,,,,
Total kWh,,5533.0000 Non-Summer kWh,,,,5533.0000
Electric Delivery,CHARGE DESCRIPTION,,USAGE UNIT,RATE,CHARGE
Ameren Illinois,Customer Charge,,,,\$31.13
DS-2 Small General Delivery,,,,,88.37
Service,Distribution Delivery Charge Non-Summer,,"2,000.00 kWh",@ \$ 0.02156000,\$43.12
,Distribution Delivery Charge Non-Summer,,"3,533.00 kWh",@ \$ 0.01107000,\$39.11
,Electric Environmental Adjustment,,"5,533.00 kWh",@ \$ 0.00014840,$\$ 0.82$
,Energy Efficiency Demand Response,,"5,533.00 kWh",@ \$ 0.00441000,\$24.40
,,,,Electric Delivery,\$145.31
Electric Supply,SUPPLIER ENERGY CHARGES,,"5,533.00 kWh",@ \$ 0.05069000,\$276.97
AEP Energy,,,,Electric Supply,\$276.97
Taxes and Other Fees,Alton Municipal Tax,,,,2.83
,Illinois State Electricity Excise Tax,,,,\$17.87
,EDT Cost Recovery,,,,7.88
,,,Total Tax Related Fees,,\$28.58
,,,Total Electric Charges,,\$453.86
4 Details From Your Electric Supplier,,,,,
AEP Energy,,,,,
www.AEPenergy.com,,,,,
086.258.3782,,,,,
Refer to supply contract for details.,,,,,
"For more information about your electric supply choices, visit www.pluginillinois.org.",,,,,
