Year,1990,1991,1992,1993,1994,1995
1990,1260,1000,1000,1000,1000,1000
1991,1000,800,800,800,800,800
1992,900,600,600,600,600,600
1993,800,500,500,500,500,500
1994,700,400,400,400,400,400
1995,600,300,300,300,300,300
1996,500,250,250,250,250,250
1997,400,200,200,200,200,200
1998,300,150,150,150,150,150
1999,250,100,100,100,100,100
2000,150,800,800,800,800,800
2001,100,500,500,500,500,500
2002,800,400,400,400,400,400
2003,600,300,300,300,300,300
2004,500,250,250,250,250,250
2005,400,200,200,200,200,200
2006,300,150,150,150,150,150
2007,250,100,100,100,100,100
2008,150,800,800,800,800,800
2009,100,500,500,500,500,500
2010,100,500,500,500,500,500
2011,100,500,500,500,500,500
2012,100,500,500,500,500,500
2013,100,500,500,500,500,500
2014,100,500,500,500,500,500
2015,100,500,500,500,500,500
2016,100,500,500,500,500,500
2017,100,500,500,500,500,500
2018,Months,2019,2019,2019,2019,2019
2019,,,,,,
2020,,,,,,
