Account Number,Service Location,Utility,Utility Rate Class,Zone,Capacity / Transmission Tags,*Estimated Meter Read Start Date (MM/DD/YYYY),Purchase Price (cents/KWh),Annual Historical Usage (KWh)
44206800003,102-01 66 Rd. GAR (102-01 66 Rd. GAR - SL - 44206800003 - CONED 102-01 66 Rd. GAR - SL - 25591915),CONED,EL9,J,24.4 / N/A,01/23/2025,10.410,"113,251"
44513560001,220 E 67 St. GAR (220 E 67 St. GAR - SL - 44513560001 - CONED - 220 E 67 St. GAR - SL - 4210290015),CONED,EL2,J,4.9 / N/A,01/09/2025,10.410,"23,762"
46079040005,"East 20th St., and FDR (East 20th St., and FDR - SL - 46079040005 CONED - East 20th St., and FDR SL)",CONED,EL2,J,3.0 / N/A,01/18/2025,10.410,"9,525"
55249530001,405 E 63 St Lot (405 E 63 St Lot - SL - 55249530001 - CONED - 405 E 63 St Lot - SL - 422005077530),CONED,EL2,J,3.5 / N/A,01/04/2025,10.410,"24,939"
58496260009,267 W 47th St GAR (267 W 47th St GAR - SL - 58496260009 - CONED 267 W 47th St GAR - SL - 44202715),CONED,EL9,J,9.7 / N/A,01/18/2025,10.410,"56,810"
60401910009,41689 Ave LOT (4168 9 Ave LOT SL - 60401910009 - CONED - 4168 9 Ave LOT - SL - 48112113850101),CONED,EL2,J,2.2 / N/A,01/29/2025,10.410,"25,522"
63168300000,38 W. 46th St. GAR (38 W. 46th St. GAR - SL - 63168300000 - CONED 38 W. 46th St. GAR - SL - 441105),CONED,EL9,J,12.8 / N/A,01/17/2025,10.410,"104,658"
64975340007,333 E 79 ST GAR (333 E 79 ST GAR - SL - 64975340007 - CONED - 333 E 79 ST GAR - SL - 423113041900),CONED,EL9,J,6.2 / N/A,01/17/2025,10.410,"43,415"
65082540009,71 Henry St GAR (71 Henry St GAR - SL - 65082540009 - CONED - 71 Henry St GAR - SL - 611401181801),CONED,EL9,J,28.6 / N/A,01/03/2025,10.410,"214,465"
66020610003,201 E. 79 St BSMT (201 E. 79 St BSMT - SL - 66020610003 - CONED - 201 E. 79 St BSMT - SL 42611308),CONED,EL9,J,7.5 / N/A,01/17/2025,10.410,"52,290"
69092350003,5876 Ave Lot (587 6 Ave Lot - SL 69092350003 - CONED - 587 6 Ave Lot - SL - 433113295000010),CONED,EL2,J,0.0 / N/A,01/06/2025,10.410,"5,585"
69951460000,133 W. 22nd St. GAR (133 W. 22nd St. GAR - SL - 69951460000 CONED - 133 W. 22nd St. GAR - SL - 4321),CONED,EL9,J,19.2 / N/A,01/09/2025,10.410,"112,476"
71721450006,2500 Johnson Ave GAR (2500 Johnson Ave GAR - SL 71721450006 - CONED - 2500 Johnson Ave GAR - SL - 32),CONED,EL9,J,8.4 / N/A,01/04/2025,10.410,"55,238"
74678930004,1900 Archer Rd. GAR (1900 Archer Rd. GAR - SL - 74678930004 CONED - 1900 Archer Rd. GAR - SL - 3020),CONED,EL9,J,13.6 / N/A,01/11/2025,10.410,"114,487"
75505437170,39-00 138 ST PARK (SP Plus Corporation),CONED,EL9,J,7.0 / N/A,01/29/2025,10.410,"21,049"
75548850009,10 W 29 St. Lot (10 W 29 St. Lot - SL - 75548850009 - CONED - 10 W 29 St. Lot - SL - 434019001305),CONED,EL2,J,2.4 / N/A,01/11/2025,10.410,"21,876"
77109540003,2040 E Tremont Ave GAR (2040 E Tremont Ave GAR - SL 77109540003 - CONED - 2040 E Tremont Ave GAR - SL),CONED,EL9,J,11.7 / N/A,01/11/2025,10.410,"87,817"
79438130001,37 W. 12 St. GAR (37 W. 12 St. GAR - SL - 79438130001 - CONED - 37 W. 12 St. GAR - SL - 4341110400),CONED,EL9,J,7.1 / N/A,01/07/2025,10.410,"48,651"
82301030001,222 E 65 St GAR (222 E 65 St GAR - SL - 82301030001 - CONED - 222 E 65 St GAR - SL - 427327096500),CONED,EL9,J,18.7 / N/A,01/07/2025,10.410,"129,004"
82446850008,5157 Ave GAR (515 7 Ave GAR - SL - 82446850008 - CONED - 515 7 Ave GAR - SL - 435121677301003),CONED,EL9,J,46.2 / N/A,01/15/2025,10.410,"385,521"
86606130002,467 W. 165 St. PKLT (467 W. 165 St. PKLT - SL - 86606130002 - CONED - 467 W. 165 St. PKLT - SL - 4842),CONED,EL2,J,3.6 / N/A,01/17/2025,10.410,"17,163"
88486420008,120 W. 21st St GAR (120 W. 21st St GAR - SL - 88486420008 - CONED 120 W. 21st St GAR - SL - 436015),CONED,EL9,J,15.0 / N/A,01/09/2025,10.410,"68,621"
93969210009,22-22 Jackson Ave GAR (22-22 Jackson Ave GAR - SL -,CONED,EL9,J,5.1 / N/A,01/03/2025,10.410,"67,332"
