Item <br> Code,Qty <br> Ship,Unit,Item Description,,,,,,,
728489,,1,CASE,6-1CT GOLDEN PINEAPPLES 6-TCT,,PR,3.04,18.25,1,18.25
732451,,1,CASE,2-3\# BROCCOLI FLORETS 1010020/91590,,PR,7.96,15.91,1,15.91
759309,,1,CASE,"1-10\# MUSHROOM SLCD 3/16"" MRKN 304",,PR,18.75,18.75,1,18.75
768801,,1,CASE,10\# POTATO FINGERLING RUSSIAN 22573,,PR,24.73,24.73,1,24.73
855731,,1,CASE,2-8\# SOUP WEDDING WR 4664471/4662498,,PR,15.37,30.73,-,30.73
855896,,1,CASE,2-8\# SOUP FRENCH ONIO 4664408/4662491,,PR,18.56,33.12,-,33.12
Totals:,,47,,Total Coo,f Pieces,,,,,
103452,,1,CASE,"12-12CT WAFFLE HMSTYL 4"" 3800014690",,FR,1.62,19.40,1,19.40
115930,C,1,CASE,4-8\# GFS SOUP MINESTRONE H&S 625210,,FR,11.14,44.56,1,44.56
164127,,1,CASE,"6-5\# FRIES 5/16"" LONG GRD A GF13",,FR,3.99,23.96,1,23.96
261769,C,1,CASE,4-2.5\# ONION RING BRD BKABLE 40002495,,FR,5.74,22.94,1,22.94
277862,,1,CASE,12-12CT BREAD GARL TST WGRAIN GFS 447,,FR,1.90,22.84,1,22.54
280607,C,2,CASE,"6-10"" PIE EGG CUSTARD C.P. 7125",,FR,4.79,28.71,1,57.42
285750,,1,CASE,30\# SMOOTH SLCD CARROT GFS 93081506,,FR,22.63,22.63,1,22.63
286010,C,1,CASE,6-5\# FRIES NATL SLC CHIPS 30H,,FR,4.53,27.19,1,27.19
330442,C,1,CASE,12-16Z WHIP TOPPING ON-TOP 92559,,FR,3.19,38.24,1,38.24
360191,,1,CASE,30\# CUT GREEN BEANS IGF KE 023581009,,FR,26.39,26.39,1,26.39
449025,,1,CASE,"18-9""PIE SHELLS UNBAKED PO 4127-34",,FR,0.90,16.22,1,16.22
460648,C,1,CASE,6-12 ENGLISH MUFFINS 2Z THOMAS 94015,,FR,2.95,17.68,1,17.68
511269,C,1,CASE,240-1.SZ ROLL DGH WHEAT RICH'S 04300,,FR,33.55,33.55,1,33.55
577010,,1,CASE,4-24CT HORS FRNK IN BLNKT 52-3-5122,,FR,6.79,27.17,1,27.17
587583,,1,CASE,6-24 3.5FLZ ICE CRM SAND 50397/10568,,FR,7.33,43.95,1,43.95
610802,,1,CASE,6-4\# PEAS GREEN GFS 081016,,FR,4.15,24.88,1,24.88
633931,,1,CASE,10-12CT ROLL HWN UNSLC 1.25Z 7148,,FR,2.02,20.15,1,20.15
633942,,1,CASE,"7-32Z BREAD HWN SLCD 5/8"" GFS 7149",,FR,3.09,21.62,1,21.62
645402,,1,CASE,6-40CT COOKIE OATML CRAN WUNT 645402,,FR,13.24,79.43,1,79.43
114600,,1,CASE,50-4Z GFS BEEF PATTY 7700581,,MT,0.68,40.96,1,40.96
134147,,1,CASE,1-10\# GFS MAPLE SAUS LINK 15/\# 134147,,MT,23.36,23.36,1,23.36
187062,,2,CASE,1-10\# GFS 4Z VEAL LUNCHEON STK 2081,,MT,37.93,37.93,1,75.86
429678,,1,CASE,4-4\# CHIX MINI TACOS PTKITCHENS 2510,,MT,16.90,67.60,1,67.60
499501,,1,CASE,"3-5\# RAW ITAL SAUS 9010 ""G-BLEN 415L",,MT,14.27,42.82,1,42.82
568732,,1,CASE,12\# SAUSAGE WHL HOG PAT 1.SZ GFS 4225,,MT,25.33,25.33,1,25.33
600760,C,2,CASE,1-15\# BACON LAID-OUT 18/22 SLVR 158257,,MT,52.19,52.19,1,104.38
677965,,1,CASE,1-10\# CKD BATTRD PORK NUGGETS W 54006,,MT,61.87,61.87,1,61.87
687980,C,1,CASE,64-3Z BEEF STK PHLL BRKAWAY 1230-001,,MT,65.36,65.36,1,65.36
869929,,1,CASE,4-5\# GFS CKD .5Z MEATBALLS 04-8699-29,,MT,11.82,47.28,1,47.28
453935,,1,CASE,1-10\# COD LOINS 5Z IGF 133004,,SF,39.78,39.78,1,39.78
