Meter Information,,,,,,,,,
Read Date,Meter <br> Number,Load Type,Reading Type,Previous,Meter Reading Present,Difference,Multiplier <br> $X$,Usage,
10/7,230012495,General Service,On Pk kW,Actual,Actual,,,14.83,
10/7,230012496,General Service,Off Pk kWh,Actual,Actual,,,0,
10/7,230012496,General Service,Total kWh,Actual,Actual,,,22,
10/7,230012496,General Service,On Pk kW,Actual,Actual,,,0.00,
10/7,230012497,General Service,Off Pk kWh,Actual,Actual,,,0,
10/7,230012497,General Service,Total kWh,Actual,Actual,,,7,
10/7,230012497,General Service,On Pk kW,Actual,Actual,,,0.00,
10/7,230013895,General Service,Off Pk kWh,Actual,Estimate,,,2,
10/7,230013895,General Service,Total kWh,Actual,Estimate,,,4,
10/7,230013895,General Service,On Pk kW,Actual,Estimate,,,0.03,
10/7,230013896,General Service,Off Pk kWh,Actual,Estimate,,,2,
10/7,230013896,General Service,Total kWh,Actual,Estimate,,,3,
10/7,230013896,General Service,On Pk kW,Actual,Estimate,,,0.03,
10/7,230014616,General Service,Off Pk kWh,Actual,Actual,,,9,
10/7,230014616,General Service,Total kWh,Actual,Actual,,,9,
10/7,230014616,General Service,On Pk kW,Actual,Actual,,,0.02,
10/7,230014617,General Service,Off Pk kWh,Actual,Actual,,,873,
10/7,230014617,General Service,Total kWh,Actual,Actual,,,1873,
10/7,230014617,General Service,On Pk kW,Actual,Actual,,,17.05,
10/7,230016054,General Service,Off Pk kWh,Actual,Estimate,,,154,
10/7,230016054,General Service,Total kWh,Actual,Estimate,,,419,
10/7,230016054,General Service,On Pk kW,Actual,Estimate,,,6.05,
10/7,230076639,General Service,Off Pk kWh,Actual,Estimate,,,1100,
10/7,230076639,General Service,Total kWh,Actual,Estimate,,,1684,
10/7,230076639,General Service,On Pk kW,Actual,Estimate,,,11.88,
10/7,230083578,General Service,Off Pk kWh,Actual,Estimate,,,1452,
10/7,230083578,General Service,Total kWh,Actual,Estimate,,,2447,
10/7,230083578,General Service,On Pk kW,Actual,Estimate,,,13.94,
10/7,230083579,General Service,Off Pk kWh,Actual,Estimate,,,850,
10/7,230083579,General Service,Total kWh,Actual,Estimate,,,1353,
10/7,230083579,General Service,On Pk kW,Actual,Estimate,,,6.59,
10/7,230083610,General Service,Off Pk kWh,Actual,Estimate,,,379,
10/7,230083610,General Service,Total kWh,Actual,Estimate,,,1233,
10/7,230083610,General Service,On Pk kW,Actual,Estimate,,,33.28,
10/7,230083611,General Service,Off Pk kWh,Actual,Estimate,,,426,
10/7,230083611,General Service,Total kWh,Actual,Estimate,,,986,
