Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,$6.200 \mathrm{~kW} \times \$ 5.301613$
The highest Measured Demand in any time period in the current month.,
Summer Demand,$6.200 \mathrm{~kW} \times \$ 10.037097$
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"$2,762 \mathrm{kWh} \times \$ 0.011148$"
Societal Benefits,"$2,762 \mathrm{kWh} \times \$ 0.010413$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 159.69$
Supply charges,
BGS Capacity,
Generation,$8.425 \mathrm{~kW} \times \$ 1.741246$
Transmission,$7.610 \mathrm{~kW} \times \$ 13.294350$
Cost of electric supplied by PSE\&G:,
Charges,
For the first,$828 \mathrm{kWh} \times \$ 0.073249$
For the next,"$1,934 \mathrm{kWh} \times \$ 0.064560$"
Total electric supply charges,
Total electric charges,$\$ 461.04$
