Meter Information,,,,,,,,,
Road <br> Dates,Meter <br> Number,Load <br> Type,Reading <br> Type,Previous,Meter Roeding <br> Present,Difference,Multipler <br> S,Usage,
9/20 <br> 8/1,230102485,General Service,Total kWh,Actual,Actual,,,111,
9/20 <br> 8/1,230102485,General Service,On Pk kW,Actual,Actual,,,0.07,
9/20 <br> 8/1,230134314,General Service,Total kWh,Actual,Actual,,,35576,
9/30 <br> 8/1,230134314,General Service,On Pk kW,Actual,Actual,,,48.34,
9/30 <br> 8/1,230138410,General Service,Total kWh,Actual,Actual,,,102832,
9/30 <br> 8/1,230138410,General Service,On Pk kW,Actual,Actual,,,235.54,
9/30 <br> 8/1,230138411,General Service,Total kWh,Actual,Actual,,,52603,
9/30 <br> 8/1,230138411,General Service,On Pk kW,Actual,Actual,,,51.50,
9/30 <br> 8/1,230138412,General Service,Total kWh,Actual,Actual,,,5123,
9/30 <br> 8/1,230138412,General Service,On Pk kW,Actual,Actual,,,7.46,
9/30 <br> 8/1,230138413,General Service,Total kWh,Actual,Actual,,,25612,
9/30 <br> 8/1,230138413,General Service,On Pk kW,Actual,Actual,,,38.46,
9/30 <br> 8/1,230158955,General Service,Total kWh,Actual,Actual,,,18,
9/30 <br> 8/1,230158955,General Service,On Pk kW,Actual,Actual,,,0.00,
9/30 <br> 8/1,230158957,General Service,Total kWh,Actual,Actual,,,57,
9/30 <br> 8/1,230158957,General Service,On Pk kW,Actual,Actual,,,0.06,
