Seller:,"Symmetry Energy Solutions, LLC",Buyer:,"OU Medicine, Inc."
Address:,"9811 Katy Fwy, Ste 1400",Address:,700 NE 13th St
City/State: <br> Attention: <br> Phone:,"Houston, TX 77024-1296 <br> Joshua Brant <br> (918) 938-7103",City/State:,"Oklahoma City, OK 73104"
Fax: <br> Email:,(713) 393-0263 <br> Confirms@SymmetryEnergy.com,,
Base Contract No:,ES-1088-A,,
Contract Price:,Buyer's price for the locked Monthly Volumes below will be NYMEX plus Price below.,,
Delivery Period:,Begin: 02/01/2023 End: 01/31/2026,,
Performance Obligation:,"Firm. ""Firm"" means the utilization of a firm service agreement with a Transporter under which the transaction's Delivery Point is not a specified primary point for the delivery of Gas.",,
"Contract <br> Quantity/Volume Commitment (""Volume Commitment"")",,,
,Month,Volume (MMBtu),Contract Price
,Feb-2023,"3,158",\$ 1.0111
,Mar-2023,"2,774",\$ 1.0111
,Apr-2023,"2,513",\$ 1.0111
,May-2023,"2,242",\$ 1.0111
,Jun-2023,"1,902",\$ 1.0111
,Jul-2023,"1,836",\$ 1.0111
,Aug-2023,"1,781",\$ 1.0111
,Sep-2023,"1,875",\$ 1.0111
,Oct-2023,"2,270",\$ 1.0111
,Nov-2023,"2,594",\$ 1.0111
,Dec-2023,"2,945",\$ 1.0111
,Jan-2024,"3,231",\$ 1.0111
,Feb-2024,"3,110",\$ 1.0111
,Mar-2024,"2,748",\$ 1.0111
,Apr-2024,"2,491",\$ 1.0111
,May-2024,"2,222",\$ 1.0111
,Jun-2024,"1,866",\$ 1.0111
,Jul-2024,"1,770",\$ 1.0111
,Aug-2024,"1,777",\$ 1.0111
,Sep-2024,"1,893",\$ 1.0111
,Oct-2024,"2,270",\$ 1.0111
