Business Name on Bill,Street Address,City,Zip Code,Service Type,Account Number,Utility,Requested Flow Date
DeAnza Properties Inc,455 Brahms Way,Sunnyvale,94087,Gas,8459875005,PG E,2/1/2023
DeAnza Properties Inc,1540 Southwest Expy,San Jose,95126,Gas,1454215842,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,6661077074,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,9119024416,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,9187314671,PG E,2/1/2023
DeAnza Properties Inc,1590 Southwest Expy,San Jose,95126,Gas,7451834567,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,8659214727,PG E,2/1/2023
DeAnza Properties Inc,660 King St,San Francisco,94107,Gas,9430023979,PG E,2/1/2023
DeAnza Properties Inc,2045 W EL CAMINO REAL,Los Altos,94022,Gas,8963017194,PG E,2/1/2023
DeAnza Properties Inc,3602 Flora Vista Ave,Santa Clara,95051,Gas,2615049427,PG E,2/1/2023
DeAnza Properties Inc,660 King St,San Francisco,94107,Gas,0986909077,PG E,2/1/2023
DeAnza Properties Inc,20631 Forge Way BLDG 12,Cupertino,95014,Gas,6959470010,PG E,2/1/2023
DeAnza Properties Inc,2 Cabot Ave,Santa Clara,95051,Gas,7335705005,PG E,2/1/2023
DeAnza Properties Inc,833 W El Camino Real,Sunnyvale,94087,Gas,4582809467,PG E,2/1/2023
DeAnza Properties Inc,650 4th St,San Francisco,94107,Gas,9338412805,PG E,2/1/2023
DeAnza Properties Inc,3440 El Camino Real,Santa Clara,95051,Gas,7544475005,PG E,2/1/2023
DeAnza Properties Inc,1530 Southwest Expy,San Jose,95126,Gas,7436376068,PG E,2/1/2023
DeAnza Properties Inc,3614 Flora Vista Ave,Santa Clara,95051,Gas,0923425143,PG E,2/1/2023
DeAnza Properties Inc,1560 Southwest Expy,San Jose,95126,Gas,1160623300,PG E,2/1/2023
DeAnza Properties Inc,10100 Torre Ave,Cupertino,95014,Gas,6292411005,PG E,2/1/2023
DeAnza Properties Inc,30 Buckingham Dr,Santa Clara,95051,Gas,2787450572,PG E,2/1/2023
DeAnza Properties Inc,1520 Southwest Expy,San Jose,95126,Gas,8834933230,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,4134614900,PG E,2/1/2023
DeAnza Properties Inc,400 E Remington Dr,Sunnyvale,94087,Gas,4070617455,PG E,2/1/2023
DeAnza Properties Inc,2043 W El Camino,Los Altos,94022,Gas,7942834010,PG E,2/1/2023
DeAnza Properties Inc,2045 W EL CAMINO REAL,Los Altos,94022,Gas,7297096010,PG E,2/1/2023
