Customer Service,$1-866-591-0157$
Previous Balance,262.10
Payment Received,262.10CR
Balance Forward,0.00
Non-Residential Service (Schedule GS-1) 08/02-09/03,
Distribution Service,
Basic Customer Charge,10.78
Distribution Service kWh,33.32
Electricity Supply Svc (ESS),
Generation,91.37
Transmission,17.64
Fuel,43.55
Sales and Use Surcharge,1.00
State\&ocal Consumption Tax,2.68
SOUTHAMPTON Utility Tax,31.02
Cancel Late Payment Chg,3.05 CR
Total Current Chargee,228.91
Total Account Balance,228.91
