Customer Service,1-866-591-0157
Previous Balance,"2,403.41"
Payment Received,"2,403.41 CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2),07/31-09/29
Distribution Service,
Basic Customer Charge,19.23
Distribution Service kWh,0.43
Dist Serv Demand Charge,58.40
All Applicable Distribution Riders,10.74
Electricity Supply Svc (ESS),
Electricity Supply kWh,190.03
Demand Charge,36.73
Transmission Demand Chg,36.20
Fuel,133.94
All Other Applicable ESS Riders,77.25
Sales and Use Surcharge,2.65
Sodium Vapor Lamp (City: 2 Size: 8000 Lumen ),
Electric Service,19.80
Sales and Use Surcharge,0.10
State/Local Consumption Tax,7.04
SOUTHAMPTON Utility Tax,52.18
Total Current Charges,644.78
Total Account Balance,644.78
