Meter and Usage,Usage History,,
Current Billing Days: 33,,Mo,$\mathrm{Yr}_{\mathrm{r}}$
,,Aug,18
Billable Usage,,Sep,18
Schedule 10 Sec,05/06-06/05,Oct,18
Total kWh,352825,Nov,18
On Pk Sum A,20881,Dec,18
Off Pk Sum A,29143,Jan,19
On Pk Sum B,118332,Feb,19
Off Pk Sum B,160202,Mar,19
On Pk Sum C,10970,Apr,19
Off Pk Sum C,13297,May,19
On Pk Win A,0,Jun,19
Off Pk Win A,0,Jul,19
On Pk Win B,0,,
Off Pk Win B,0,,
On Pk Win C,0,,
Off Pk Win C,0,,
Contract Dem,1840.0,,
Dist Demand,1840.0,,
