Meter: 00RG000354,05/06-06/05,Late Payment Charge,298.76
On Pk Sum A,20881,Adjustment,"30,120.49CR"
Off Pk Sum A,29143,Total Current Charges,"65,792.01"
On Pk Sum B,118332,,
Off Pk Sum B,160202,Total Account Balance,"65,792.01"
On Pk Sum C,10970,"View payment options, request service changes and enroll in eBill at",
Off Pk Sum C,13297,,
On Pk Win A,0,,
Off Pk Win A,0,,
On Pk Win B,0,,
Off Pk Win B,0,,
On Pk Win C,0,,
Off Pk Win C,0,,
Demand,1427.20,,
kVA Demand,1595.30,,
Meter: 00RG000354,06/05-07/09,Paver,
On Pk Sum A,81702,,
Off Pk Sum A,114112,,
On Pk Sum B,226081,,
Off Pk Sum B,301355,,
On Pk Sum C,5267,,
Off Pk Sum C,18906,,
On Pk Win A,0,,
Off Pk Win A,0,,
On Pk Win B,0,,
Off Pk Win B,0,,
On Pk Win C,0,,
Off Pk Win C,0,,
Demand,1498.50,,
kVA Demand,1679.50,,
