Month-Year,Volume (Dths)
April-2022,115
May-2022,100
June-2022,100
July-2022,100
August-2022,90
September-2022,85
October-2022,100
November-2022,120
December-2022,140
January-2023,150
February-2023,150
March-2023,150
April-2023,115
May-2023,110
June-2023,100
July-2023,100
August-2023,90
September-2023,85
October-2023,100
November-2023,120
December-2023,140
January-2024,150
February-2024,150
March-2024,150
April-2024,115
May-2024,110
June-2024,100
July-2024,100
August-2024,90
September-2024,85
October-2024,100
November-2024,120
December-2024,140
January-2025,150
February-2025,150
March-2025,150
