folder_name,pdf_file_size_kb,md_file_size_kb,md_line_count,md_character_count,jpeg_count_in_images_folder
document_1020,95.49609375,7.083984375,219,7248,1
document_904,234.37890625,32.9326171875,194,33723,2
document_138,357.68359375,56.5380859375,218,57895,0
document_597,484.638671875,5.322265625,124,5450,1
document_107,251.66796875,13.3759765625,112,13697,2
document_751,5982.708984375,12.37109375,277,12666,9
document_95,8357.4287109375,35.396484375,159,36244,1
document_563,105.736328125,11.205078125,310,11468,2
document_769,6097.7021484375,358.0068359375,5326,366524,26
document_59,291.904296875,14.5888671875,150,14939,1
document_1027,95.5166015625,7.1064453125,192,7271,1
document_564,90.3232421875,6.6259765625,186,6779,1
document_756,1399.0751953125,45.17578125,347,46259,2
document_92,610.775390625,42.17578125,143,43184,2
document_332,652.60546875,21.3154296875,172,21827,1
document_100,153.6162109375,10.0146484375,142,10249,0
document_66,245.84765625,8.9091796875,269,9120,2
document_5,4719.2373046875,32.4921875,380,33272,1
document_935,1244.6025390625,8.0,151,8173,2
document_109,1417.8427734375,62.197265625,125,63690,3
document_599,351.451171875,52.6728515625,213,53937,0
document_304,781.7373046875,7.158203125,271,7317,5
document_136,1417.8427734375,56.2470703125,750,57597,3
document_552,132.5048828125,4.033203125,139,4130,1
document_760,136.5498046875,3.0791015625,61,3153,3
document_50,3022.603515625,18.76171875,235,19212,4
document_794,1888.2021484375,20.2373046875,173,20723,2
document_1016,105.736328125,11.294921875,315,11560,2
document_2,7376.287109375,66.2373046875,408,67825,1
document_932,10630.50390625,85.083984375,1491,87004,14
document_758,186.8623046875,5.98828125,207,6129,3
document_1029,130.05859375,15.9140625,445,16288,2
document_57,291.904296875,14.626953125,150,14978,1
document_793,336.6796875,3.0380859375,90,3111,0
document_767,6097.7021484375,396.8359375,5346,406285,27
document_555,377.28515625,45.8056640625,267,46905,1
document_303,1890.8662109375,18.36328125,531,18804,1
document_191,607.8203125,2.5048828125,92,2565,2
document_501,775.7607421875,30.3037109375,420,31031,1
document_733,211.708984375,2.4228515625,71,2481,1
document_1089,155.2763671875,9.361328125,259,9582,5
document_357,239.443359375,10.556640625,307,10807,2
document_959,2659.072265625,4.13671875,133,4236,3
document_992,943.3154296875,2.7119140625,110,2777,0
document_1042,778.740234375,3.5634765625,137,3649,0
document_368,240.7607421875,3.146484375,74,3222,1
document_162,356.31640625,9.306640625,164,9530,4
document_350,667.25,7.630859375,253,7811,1
document_734,183.0341796875,1.8447265625,31,1887,0
document_506,4899.6142578125,138.49609375,3957,141724,56
document_539,384.6728515625,55.7802734375,215,57119,0
document_961,518.890625,49.970703125,198,51170,0
document_1045,87.2177734375,48.2958984375,285,49454,1
document_995,2665.5380859375,72.1044921875,1912,73835,22
document_530,5807.61328125,39.97265625,1072,40883,15
document_154,4228.3720703125,44.4462890625,5103,45510,10
document_968,253.0732421875,79.02734375,434,80919,1
document_366,361.3798828125,3.6630859375,124,3751,3
document_392,194.3193359375,17.6201171875,218,18043,0
document_1087,541.3876953125,9.66796875,252,9897,7
document_359,229.4873046875,12.60546875,110,12908,0
document_957,145.32421875,7.615234375,92,7797,0
document_1073,2772.1201171875,36.169921875,210,37037,3
document_395,282.0546875,30.9111328125,156,31652,0
document_153,4516.015625,38.482421875,228,39405,4
document_537,117.1171875,35.416015625,202,36266,1
document_198,89.099609375,18.3515625,343,18790,0
document_508,3845.517578125,99.1865234375,2483,101483,36
document_1080,289.0234375,34.9697265625,176,35808,0
document_3,7376.287109375,66.1689453125,409,67755,1
document_933,2538.634765625,34.3505859375,776,35136,14
document_759,576.9326171875,28.892578125,117,29585,0
document_69,355.2822265625,13.6767578125,402,14002,3
document_1017,118.798828125,28.8125,178,29504,0
document_554,132.5048828125,3.904296875,137,3998,1
document_766,6097.7021484375,388.80078125,5406,398055,27
document_130,1417.8427734375,6.85546875,170,7020,3
document_1028,108.95703125,13.2158203125,343,13527,2
document_4,7376.287109375,66.294921875,410,67884,2
document_108,347.5947265625,35.2958984375,158,36141,0
document_934,1245.1357421875,7.7412109375,156,7906,1
document_51,322.5224609375,57.1923828125,443,58559,5
document_795,1440.2080078125,5.6435546875,107,5779,3
document_137,761.0234375,57.2080078125,330,58581,3
document_305,633.4365234375,4.9404296875,172,5046,3
document_761,1244.63671875,41.2451171875,333,42234,0
document_553,377.28515625,45.783203125,268,46882,1
document_58,702.0771484375,9.744140625,110,9978,2
document_1026,112.611328125,9.375,267,9594,2
document_768,6097.7021484375,326.3427734375,5326,334098,26
document_67,261.2607421875,48.7919921875,239,49960,1
document_591,383.7783203125,3.130859375,84,3206,1
document_565,95.49609375,7.2998046875,226,7469,1
document_101,64.9599609375,8.396484375,210,8598,2
document_333,217.5146484375,9.92578125,282,10164,7
document_139,357.68359375,56.5361328125,217,57893,0
document_905,139.0712890625,3.8505859375,153,3943,1
document_1021,105.736328125,11.0947265625,321,11355,2
document_334,652.60546875,21.2275390625,170,21737,1
document_562,105.736328125,11.216796875,318,11480,2
document_750,5982.708984375,13.455078125,309,13764,9
document_94,275.2509765625,12.5107421875,237,12811,2
document_596,511.263671875,30.244140625,115,30970,2
document_60,401.078125,6.0126953125,194,6155,1
document_152,241.345703125,36.1337890625,150,37001,0
document_360,2675.7939453125,11.748046875,190,12030,1
document_704,963.2421875,1.1572265625,32,1185,1
document_536,5807.61328125,39.09375,1063,39994,15
document_509,1443.2138671875,40.7783203125,1172,41725,11
document_951,450.3037109375,86.458984375,150,88533,1
document_1075,83.12109375,35.466796875,201,36318,0
document_393,194.3193359375,17.6201171875,218,18043,0
document_531,164.8564453125,23.734375,136,24304,0
document_703,588.0859375,44.5390625,247,45608,0
document_367,2671.0166015625,9.2294921875,193,9451,0
document_969,6282.7744140625,12.1689453125,288,12461,12
document_1072,334.107421875,6.8720703125,204,7024,5
document_956,798.1767578125,7.7802734375,204,7967,3
document_1086,881.5537109375,39.759765625,215,40713,2
document_197,1640.7314453125,9.076171875,59,9294,0
document_163,13426.4951171875,36.9248046875,1073,37699,6
document_507,6173.0712890625,194.6884765625,4572,199289,49
document_994,1523.3330078125,38.205078125,247,39121,3
document_538,318.8388671875,11.7724609375,283,12023,2
document_960,547.818359375,28.326171875,168,29005,1
document_732,497.611328125,7.5166015625,278,7683,5
document_500,38.0166015625,0.373046875,16,381,0
document_958,265.1708984375,8.126953125,109,8322,1
document_164,356.31640625,9.654296875,244,9886,4
document_1088,5452.3173828125,48.8349609375,253,50000,1
document_356,221.8515625,7.1123046875,225,7280,1
document_190,78.51953125,5.87109375,139,6010,1
document_967,6268.5703125,12.072265625,264,12360,9
document_1131,394.9169921875,22.4287109375,141,22967,0
document_815,70.5107421875,3.177734375,128,3241,0
document_486,502.947265625,8.794921875,383,8993,3
document_640,1685.86328125,11.1884765625,265,11452,7
document_472,499.73046875,8.1474609375,287,8330,4
document_812,829.31640625,58.2451171875,390,59643,1
document_1136,1277.3759765625,3.0859375,99,3160,0
document_475,480.3447265625,7.61328125,251,7796,0
document_647,332.798828125,41.7705078125,158,42771,0
document_223,520.404296875,35.068359375,132,35910,0
document_481,502.6689453125,8.0498046875,299,8216,4
document_1100,539.3017578125,7.2255859375,189,7398,3
document_488,256.599609375,5.6787109375,63,5805,0
document_215,142.4619140625,70.8984375,498,72600,1
document_443,658.521484375,42.591796875,172,43614,0
document_671,492.78125,5.751953125,210,5876,3
document_685,710.6728515625,9.4521484375,275,9676,1
document_1107,515.30859375,7.8876953125,198,8074,5
document_823,345.69921875,28.4033203125,131,29084,1
document_649,332.798828125,41.7705078125,158,42771,0
document_1138,405.4892578125,10.984375,218,11248,3
document_682,492.935546875,6.2119140625,207,6336,3
document_676,492.7763671875,6.2685546875,205,6406,4
document_212,143.9560546875,47.9384765625,359,49089,2
document_410,348.8046875,8.4853515625,84,8689,0
document_246,774.240234375,5.3115234375,218,5439,1
document_848,486.7734375,9.802734375,239,10037,4
document_1153,705.564453125,6.7734375,216,6935,3
document_279,760.841796875,5.9677734375,255,6098,3
document_241,742.9345703125,6.662109375,212,6809,6
document_625,678.94921875,32.3583984375,150,33134,3
