file,pages,text_pages,image_pages,character_count,language,title,author,producer,file_size_kb,error
document_459.pdf,7.0,0.0,7.0,0.0,unknown,,,SECnvtToPDF V1.0,793.427734375,
document_317.pdf,3.0,3.0,0.0,4277.0,en,,,PFUPDF Engine 1.3.10,833.8173828125,
document_471.pdf,3.0,3.0,0.0,5129.0,en,Rendering Library,Idoxs Development Team,PDFlib+PDI 9.0.5 (.NET/Win32),498.958984375,
document_465.pdf,3.0,3.0,0.0,5157.0,en,Rendering Library,Idoxs Development Team,PDFlib+PDI 9.0.5 (.NET/Win32),499.4091796875,
document_303.pdf,6.0,6.0,0.0,12782.0,en,,,PFUPDF Engine 1.3.10,1890.8662109375,
document_854.pdf,2.0,2.0,0.0,5363.0,en,,,"PDF Toolbox SDK 4.1.1.13178, Pdftools (www.pdf-tools.com)",800.3369140625,
document_1105.pdf,3.0,3.0,0.0,6194.0,en,data/pdf/93371-92005.pdf,Opentext Exstream,,515.6162109375,
document_840.pdf,3.0,3.0,0.0,6668.0,en,,,"PDF Toolbox SDK 4.1.1.13178, Pdftools (www.pdf-tools.com)",232.5498046875,
document_1111.pdf,11.0,0.0,11.0,0.0,unknown,2023-11-22 11:48,,Haru Free PDF Library 2.4.0dev,5977.845703125,
document_698.pdf,1.0,0.0,1.0,0.0,unknown,,,,388.892578125,
document_868.pdf,,,,,,,,,,No /Root object! - Is this really a PDF?
document_1139.pdf,3.0,3.0,0.0,8112.0,en,,,StreamServe Communication Server 16.6.3 GA Build 326 (64 bit),405.4892578125,
document_897.pdf,,,,,,,,,,No /Root object! - Is this really a PDF?
document_129.pdf,5.0,0.0,5.0,0.0,unknown,,,,1417.8427734375,
document_883.pdf,,,,,,,,,,No /Root object! - Is this really a PDF?
document_673.pdf,3.0,3.0,0.0,5073.0,en,Rendering Library,Idoxs Development Team,PDFlib+PDI 9.0.5 (.NET/Win32),493.3701171875,
document_115.pdf,5.0,0.0,5.0,0.0,unknown,,,,1417.8427734375,
