filename,error_reason
document_459.pdf,No text extracted
document_1111.pdf,No text extracted
document_698.pdf,No text extracted
document_868.pdf,No text extracted
document_897.pdf,No text extracted
document_129.pdf,No text extracted
document_883.pdf,No text extracted
document_115.pdf,No text extracted
document_1071.pdf,No text extracted
document_934.pdf,No text extracted
document_1059.pdf,No text extracted
document_908.pdf,No text extracted
document_713.pdf,No text extracted
document_12.pdf,No text extracted
document_538.pdf,No text extracted
document_13.pdf,No text extracted
document_706.pdf,No text extracted
document_909.pdf,No text extracted
document_935.pdf,No text extracted
document_128.pdf,No text extracted
document_869.pdf,No text extracted
document_1110.pdf,No text extracted
document_699.pdf,No text extracted
document_458.pdf,No text extracted
document_1112.pdf,No text extracted
document_880.pdf,No text extracted
document_894.pdf,No text extracted
document_937.pdf,No text extracted
document_710.pdf,No text extracted
document_704.pdf,No text extracted
document_11.pdf,No text extracted
document_10.pdf,No text extracted
document_705.pdf,FileDataError: Failed to open file '../data/raw_data/document_705.pdf'.
document_711.pdf,No text extracted
document_739.pdf,FileDataError: Failed to open file '../data/raw_data/document_739.pdf'.
document_922.pdf,No text extracted
document_1073.pdf,No text extracted
document_936.pdf,No text extracted
document_117.pdf,No text extracted
document_895.pdf,No text extracted
document_881.pdf,No text extracted
document_659.pdf,No text extracted
document_1113.pdf,No text extracted
document_498.pdf,No text extracted
document_339.pdf,No text extracted
document_1117.pdf,No text extracted
document_113.pdf,No text extracted
document_885.pdf,No text extracted
document_891.pdf,No text extracted
document_932.pdf,No text extracted
document_926.pdf,No text extracted
document_715.pdf,No text extracted
document_701.pdf,No text extracted
document_14.pdf,No text extracted
document_29.pdf,No text extracted
document_15.pdf,No text extracted
document_728.pdf,No text extracted
document_700.pdf,No text extracted
document_927.pdf,No text extracted
document_1076.pdf,No text extracted
document_933.pdf,No text extracted
document_1062.pdf,No text extracted
document_884.pdf,No text extracted
document_106.pdf,FileDataError: Failed to open file '../data/raw_data/document_106.pdf'.
document_660.pdf,No text extracted
document_1116.pdf,No text extracted
document_462.pdf,No text extracted
document_460.pdf,No text extracted
document_448.pdf,No text extracted
document_879.pdf,No text extracted
document_1128.pdf,No text extracted
document_1048.pdf,No text extracted
document_919.pdf,No text extracted
document_1074.pdf,No text extracted
document_925.pdf,No text extracted
document_1060.pdf,No text extracted
document_931.pdf,No text extracted
document_702.pdf,No text extracted
document_716.pdf,No text extracted
document_500.pdf,No text extracted
document_528.pdf,No text extracted
document_501.pdf,No text extracted
document_16.pdf,No text extracted
document_717.pdf,No text extracted
document_930.pdf,No text extracted
document_924.pdf,No text extracted
document_1049.pdf,No text extracted
document_893.pdf,No text extracted
document_663.pdf,No text extracted
document_111.pdf,No text extracted
document_1115.pdf,FileDataError: Failed to open file '../data/raw_data/document_1115.pdf'.
document_461.pdf,No text extracted
document_189.pdf,No text extracted
document_176.pdf,No text extracted
document_0.pdf,No text extracted
document_162.pdf,No text extracted
document_943.pdf,No text extracted
document_980.pdf,No text extracted
document_758.pdf,No text extracted
document_994.pdf,No text extracted
document_770.pdf,No text extracted
document_65.pdf,No text extracted
document_71.pdf,No text extracted
document_228.pdf,No text extracted
document_572.pdf,No text extracted
document_229.pdf,No text extracted
document_70.pdf,No text extracted
document_58.pdf,No text extracted
document_598.pdf,No text extracted
document_771.pdf,No text extracted
document_765.pdf,No text extracted
document_995.pdf,No text extracted
document_759.pdf,No text extracted
document_956.pdf,No text extracted
document_1007.pdf,No text extracted
document_942.pdf,No text extracted
document_1013.pdf,No text extracted
document_1.pdf,No text extracted
document_163.pdf,No text extracted
document_177.pdf,No text extracted
document_639.pdf,No text extracted
document_1167.pdf,No text extracted
document_375.pdf,No text extracted
document_820.pdf,No text extracted
document_1165.pdf,No text extracted
document_1159.pdf,No text extracted
document_161.pdf,No text extracted
document_3.pdf,No text extracted
document_175.pdf,No text extracted
document_1005.pdf,No text extracted
document_798.pdf,No text extracted
document_940.pdf,No text extracted
document_1039.pdf,No text extracted
document_997.pdf,No text extracted
document_773.pdf,No text extracted
document_767.pdf,No text extracted
document_72.pdf,No text extracted
document_66.pdf,No text extracted
document_559.pdf,No text extracted
document_571.pdf,No text extracted
document_203.pdf,No text extracted
document_570.pdf,No text extracted
document_558.pdf,No text extracted
document_67.pdf,No text extracted
document_766.pdf,No text extracted
document_772.pdf,No text extracted
document_982.pdf,No text extracted
document_996.pdf,No text extracted
document_1038.pdf,No text extracted
document_941.pdf,No text extracted
document_2.pdf,No text extracted
document_1158.pdf,No text extracted
document_404.pdf,No text extracted
document_366.pdf,No text extracted
document_400.pdf,No text extracted
document_819.pdf,No text extracted
document_1148.pdf,No text extracted
document_1160.pdf,No text extracted
document_6.pdf,No text extracted
document_602.pdf,No text extracted
document_164.pdf,No text extracted
document_170.pdf,No text extracted
document_616.pdf,No text extracted
document_158.pdf,No text extracted
document_789.pdf,No text extracted
document_1014.pdf,No text extracted
document_776.pdf,No text extracted
document_992.pdf,No text extracted
document_63.pdf,No text extracted
document_560.pdf,No text extracted
document_206.pdf,No text extracted
document_549.pdf,No text extracted
document_89.pdf,No text extracted
document_207.pdf,No text extracted
document_76.pdf,No text extracted
document_763.pdf,No text extracted
document_777.pdf,No text extracted
document_944.pdf,No text extracted
document_1015.pdf,No text extracted
document_1001.pdf,No text extracted
document_788.pdf,No text extracted
document_171.pdf,No text extracted
document_617.pdf,No text extracted
document_7.pdf,No text extracted
document_165.pdf,No text extracted
document_1161.pdf,No text extracted
document_1149.pdf,No text extracted
document_818.pdf,No text extracted
document_373.pdf,No text extracted
document_401.pdf,No text extracted
document_398.pdf,No text extracted
document_1163.pdf,No text extracted
document_615.pdf,No text extracted
document_167.pdf,No text extracted
document_5.pdf,No text extracted
document_946.pdf,No text extracted
document_1003.pdf,No text extracted
document_761.pdf,No text extracted
document_775.pdf,No text extracted
document_991.pdf,No text extracted
document_749.pdf,FileDataError: Failed to open file '../data/raw_data/document_749.pdf'.
document_588.pdf,No text extracted
document_205.pdf,No text extracted
document_577.pdf,No text extracted
document_576.pdf,No text extracted
document_204.pdf,No text extracted
document_589.pdf,No text extracted
document_748.pdf,FileDataError: Failed to open file '../data/raw_data/document_748.pdf'.
document_774.pdf,No text extracted
document_760.pdf,No text extracted
document_947.pdf,No text extracted
document_166.pdf,No text extracted
document_600.pdf,No text extracted
document_4.pdf,No text extracted
document_614.pdf,No text extracted
document_172.pdf,No text extracted
document_199.pdf,No text extracted
document_1162.pdf,No text extracted
document_370.pdf,No text extracted
document_396.pdf,No text extracted
document_369.pdf,No text extracted
document_355.pdf,No text extracted
document_341.pdf,No text extracted
document_180.pdf,No text extracted
document_9.pdf,No text extracted
document_619.pdf,FileDataError: Failed to open file '../data/raw_data/document_619.pdf'.
document_157.pdf,No text extracted
document_625.pdf,No text extracted
document_1033.pdf,No text extracted
document_962.pdf,No text extracted
document_786.pdf,No text extracted
document_792.pdf,No text extracted
document_779.pdf,No text extracted
document_745.pdf,FileDataError: Failed to open file '../data/raw_data/document_745.pdf'.
document_751.pdf,No text extracted
document_584.pdf,No text extracted
document_590.pdf,No text extracted
document_50.pdf,No text extracted
document_547.pdf,No text extracted
document_221.pdf,No text extracted
document_220.pdf,No text extracted
document_591.pdf,No text extracted
document_585.pdf,No text extracted
document_750.pdf,No text extracted
document_744.pdf,FileDataError: Failed to open file '../data/raw_data/document_744.pdf'.
document_778.pdf,No text extracted
document_793.pdf,No text extracted
document_142.pdf,No text extracted
document_156.pdf,No text extracted
document_618.pdf,FileDataError: Failed to open file '../data/raw_data/document_618.pdf'.
document_8.pdf,No text extracted
document_181.pdf,No text extracted
document_195.pdf,No text extracted
document_817.pdf,No text extracted
document_340.pdf,No text extracted
document_426.pdf,No text extracted
document_354.pdf,No text extracted
document_368.pdf,No text extracted
document_342.pdf,No text extracted
document_815.pdf,No text extracted
document_183.pdf,No text extracted
document_197.pdf,No text extracted
document_168.pdf,No text extracted
document_140.pdf,No text extracted
document_154.pdf,No text extracted
document_791.pdf,No text extracted
document_785.pdf,No text extracted
document_746.pdf,FileDataError: Failed to open file '../data/raw_data/document_746.pdf'.
document_593.pdf,No text extracted
document_53.pdf,No text extracted
document_587.pdf,No text extracted
document_578.pdf,No text extracted
document_90.pdf,No text extracted
document_222.pdf,No text extracted
document_544.pdf,No text extracted
document_223.pdf,No text extracted
document_579.pdf,No text extracted
document_46.pdf,No text extracted
document_52.pdf,No text extracted
document_747.pdf,FileDataError: Failed to open file '../data/raw_data/document_747.pdf'.
document_784.pdf,No text extracted
document_948.pdf,No text extracted
document_790.pdf,No text extracted
document_960.pdf,No text extracted
document_633.pdf,No text extracted
document_169.pdf,No text extracted
document_182.pdf,No text extracted
document_431.pdf,No text extracted
document_425.pdf,No text extracted
document_343.pdf,No text extracted
